Yr,Mon,EST. PALPAL A
1978,6,21.550083939563518
1978,7,33.404420817011754
1978,8,35.58354784555121
1978,9,60.053553441522105
1978,10,90.85187465025184
1978,11,119.49972020145498
1978,12,158.69406827084504
1979,1,166.29250139899273
1979,2,125.7970900951315
1979,3,101.85008393956353
1979,4,58.18097369893676
1979,5,29.365193060996088
1979,6,17.19725797425853
1979,7,23.650307778399558
1979,8,38.29966424174594
1979,9,53.659932848349186
1979,10,90.28981533296026
1979,11,110.29529938444321
1979,12,145.92921096810295
1980,1,179.17168438724119
1980,2,110.20492445439284
1980,3,105.50128707330724
1980,4,51.357974258533865
1980,5,33.948069390039166
1980,6,21.476552881925016
1980,7,25.103469501958593
1980,8,41.435198656966975
1980,9,65.11326245103527
1980,10,99.09725797425854
1980,11,118.60095131505318
1980,12,150.3188024622272
1981,1,150.6958030218243
1981,2,130.89501958589815
1981,3,100.30637940682709
1981,4,54.757750419697814
1981,5,36.83872411863458
1981,6,20.291885842193626
1981,7,28.565976496922215
1981,8,38.78662562954673
1981,9,62.81219921656408
1981,10,97.1085618354785
1981,11,124.67448237269164
1981,12,159.71516508114155
1982,1,168.4899272523783
1982,2,122.53077783995525
1982,3,102.10968102965865
1982,4,57.84303301622831
1982,5,32.086345831001694
1982,6,20.35041969781757
1982,7,26.812814773363172
1982,8,39.82831561275882
1982,9,58.889983212087294
1982,10,88.05713486289872
1982,11,115.98517067711246
1982,12,166.9163402350308
1983,1,154.86412982652493
1983,2,134.34236149972023
1983,3,99.81662003357582
1983,4,58.32126468942362
1983,5,27.68326804700616
1983,6,16.563010632344714
1983,7,22.5423614997202
1983,8,40.61958589815334
1983,9,59.165304980414106
1983,10,99.18914381645216
1983,11,137.95271404588695
1983,12,164.85338556239512
1984,1,168.30761052042533
1984,2,125.1951874650252
1984,3,97.69496362618915
1984,4,57.59401231113599
1984,5,28.578175713486292
1984,6,15.536485730274203
1984,7,25.141745942921098
1984,8,35.28640179071069
1984,9,58.70027979854506
1984,10,79.80867375489646
1984,11,111.7474538332401
