Yr,Mon,EST. CHACAY A
1987,12,152.49767441860465
1988,1,164.85116279069769
1988,2,129.27519379844964
1988,3,95.5124031007752
1988,4,60.35813953488373
1988,5,29.124806201550385
1988,6,22.83720930232558
1988,7,25.17984496124031
1988,8,36.45968992248062
1988,9,58.36899224806203
1988,10,95.29922480620156
1988,11,132.16434108527133
1988,12,155.6100775193799
1989,1,168.9387596899225
1989,2,130.89689922480622
1989,3,101.28992248062019
1989,4,61.94573643410853
1989,5,29.216279069767445
1989,6,21.75968992248062
1989,7,28.237984496124028
1989,8,37.04573643410853
1989,9,64.546511627907
1989,10,99.99922480620157
1989,11,128.1643410852713
1989,12,150.36821705426357
1990,1,172.18217054263567
1990,2,117.23178294573646
1990,3,100.85503875968993
1990,4,57.4798449612403
1990,5,30.86046511627908
1990,6,19.824031007751937
1990,7,23.558914728682172
1990,8,41.70387596899225
1990,9,60.54728682170542
1990,10,94.37751937984495
1990,11,124.36434108527133
1990,12,151.38837209302324
1991,1,165.35116279069769
1991,2,129.99612403100775
1991,3,101.86821705426357
1991,4,56.85891472868217
1991,5,34.81782945736435
1991,6,20.00232558139535
1991,7,24.33720930232558
1991,8,38.8031007751938
1991,9,60.64728682170542
1991,10,94.06511627906978
1991,11,118.54263565891475
1991,12,130.8248062015504
1992,1,167.6511627906977
1992,2,124.65348837209302
1992,3,103.82480620155042
1992,4,54.93565891472868
1992,5,34.13953488372093
1992,6,19.358914728682173
1992,7,22.058139534883722
1992,8,36.98139534883721
1992,9,63.49147286821706
1992,10,94.5
1992,11,120.96434108527133
1992,12,143.26821705426354
1993,1,165.46356589147288
1993,2,135.46279069767445
1993,3,103.53410852713178
1993,4,61.679844961240306
1993,5,34.31705426356589
1993,6,25.115503875968997
1993,7,24.158914728682173
1993,8,42.60387596899225
1993,9,63.468992248062015
1993,10,93.3217054263566
1993,11,123.32093023255811
1993,12,156.81007751937986
1994,1,170.25038759689926
1994,2,120.17441860465118
1994,3,103.87751937984497
1994,4,59.32403100775195
1994,5,31.88294573643411
1994,6,23.75968992248062
1994,7,25.53720930232558
1994,8,37.3031007751938
1994,9,61.247286821705444
1994,10,87.13410852713179
1994,11,118.7434108527132
1994,12,149.58837209302325
1995,1,162.3294573643411
1995,2,123.2093023255814
1995,3,101.73333333333335
1995,4,64.05891472868217
1995,5,31.760465116279068
1995,6,23.437984496124038
1995,7,23.836434108527133
1995,8,36.4031007751938
1995,9,62.89069767441861
1995,10,92.37751937984495
1995,11,128.1418604651163
1995,12,161.06356589147288
1996,1,169.67286821705426
1996,2,127.1751937984496
1996,3,103.97751937984498
1996,4,57.0015503875969
1996,5,31.403875968992253
1996,6,18.179844961240313
1996,7,25.32480620155039
1996,8,41.659689922480624
1996,9,67.546511627907
1996,10,95.0
1996,11,131.36434108527132
1996,12,148.29844961240312
1997,1,163.25193798449612
1997,2,129.084496124031
1997,3,102.03333333333332
1997,4,66.70232558139534
1997,5,34.38294573643412
1997,6,23.33720930232558
1997,7,25.83720930232558
1997,8,38.7031007751938
1997,9,62.24728682170543
1997,10,86.10000000000001
1997,11,113.74341085271317
1997,12,148.1325581395349
1998,1,169.33798449612402
1998,2,117.93100775193801
1998,3,100.5325581395349
1998,4,56.87906976744187
