Sources and Destinations,Decrease in Storage for Embalse El Bato,Increase in Storage for Embalse El Bato,Inflow from Upstream,Net Evaporation,Outflow to Acuifero_3,Outflow to Downstream,Sum
dic-05,0,0,7.48116,0,0,-7.48116,0
ene-06,0,0,3.21148,0,0,-3.21148,0
feb-06,0,0,1.86429,0,0,-1.86429,0
mar-06,0,0,1.33653,0,0,-1.33653,0
abr-06,0,0,1.21109,0,0,-1.21109,0
may-06,0,0,1.19988,0,0,-1.19988,0
jun-06,0,0,1.65386,0,0,-1.65386,0
jul-06,0,0,1.59544,0,0,-1.59544,0
ago-06,0,0,1.51565,0,0,-1.51565,0
sept-06,0,0,1.62426,0,0,-1.62426,0
oct-06,0,0,2.29781,0,0,-2.29781,0
nov-06,0,0,2.09861,0,0,-2.09861,0
dic-06,0,0,1.4509,0,0,-1.4509,0
ene-07,0,0,1.12908,0,0,-1.12908,0
feb-07,0,0,0.950886,0,0,-0.950886,0
mar-07,0,0,0.740239,0,0,-0.740239,0
abr-07,0,0,0.682509,0,0,-0.682509,0
may-07,0,0,0.721322,0,0,-0.721322,0
jun-07,0,0,0.897484,0,0,-0.897484,0
jul-07,0,0,1.11036,0,0,-1.11036,0
ago-07,0,0,0.984863,0,0,-0.984863,0
sept-07,0,0,0.966358,0,0,-0.966358,0
oct-07,0,0,1.34992,0,0,-1.34992,0
nov-07,0,0,1.236,0,0,-1.236,0
dic-07,0,0,0.93579,0,0,-0.93579,0
ene-08,0,0,0.653488,0,0,-0.653488,0
feb-08,0,0,0.580617,0,0,-0.580617,0
mar-08,0,0,0.572361,0,0,-0.572361,0
abr-08,0,0,0.522613,0,0,-0.522613,0
may-08,0,0,0.466123,0,0,-0.466123,0
jun-08,0,0,0.593378,0,0,-0.593378,0
jul-08,0,0,0.629344,0,0,-0.629344,0
ago-08,0,0,1.04508,0,0,-1.04508,0
sept-08,0,0,1.35018,0,0,-1.35018,0
oct-08,0,0,2.58469,0,0,-2.58469,0
nov-08,0,0,5.83461,0,0,-5.83461,0
dic-08,0,0,2.44082,0,0,-2.44082,0
ene-09,0,0,1.21786,0,0,-1.21786,0
feb-09,0,0,0.972786,0,0,-0.972786,0
mar-09,0,0,0.839491,0,0,-0.839491,0
abr-09,0,0,0.762418,0,0,-0.762418,0
may-09,0,0,0.686032,0,0,-0.686032,0
jun-09,0,0,0.670678,0,0,-0.670678,0
jul-09,0,0,0.763516,0,0,-0.763516,0
ago-09,0,0,1.12869,0,0,-1.12869,0
sept-09,0,0,1.02957,0,0,-1.02957,0
oct-09,0,0,1.29194,0,0,-1.29194,0
nov-09,0,0,1.43721,0,0,-1.43721,0
dic-09,0,0,0.973592,0,0,-0.973592,0
ene-10,0,0,0.691291,0,0,-0.691291,0
feb-10,0,0,0.564095,0,0,-0.564095,0
mar-10,0,0,0.625108,0,0,-0.625108,0
abr-10,0,0,0.625421,0,0,-0.625421,0
may-10,0,0,0.732708,0,0,-0.732708,0
jun-10,0,0,0.850767,0,0,-0.850767,0
jul-10,0,0,0.824893,0,0,-0.824893,0
ago-10,0,0,0.724354,0,0,-0.724354,0
sept-10,0,0,0.699908,0,0,-0.699908,0
oct-10,0,0,0.80078,0,0,-0.80078,0
nov-10,0,0,0.929973,0,0,-0.929973,0
dic-10,0,0,0.749422,0,0,-0.749422,0
ene-11,0,0,0.601619,0,0,-0.601619,0
feb-11,0,0,0.534654,0,0,-0.534654,0
mar-11,0,0,0.473903,0,0,-0.473903,0
abr-11,,-0.189927,0.496238,0,0,-0.306311,0
may-11,,-0.158974,0.506842,0,-0.1838,-0.164068,-2.77556E-17
jun-11,,-0.383893,0.692535,0,-0.308642,0,-5.55112E-17
jul-11,,-0.544241,0.842927,0,-0.298686,0,-5.55112E-17
ago-11,,-0.515885,0.839396,0,-0.298686,-0.0248258,1.38778E-17
sept-11,,-0.833229,1.4271,0,-0.308642,-0.285224,-1.11022E-16
oct-11,,-1.09661,1.86505,0,-0.298686,-0.469753,0
nov-11,,-0.255576,1.63395,0,-0.308642,-1.06973,-2.77556E-16
dic-11,0.615568,,0.969678,0,-0.298686,-1.28656,1.66533E-16
ene-12,0.753176,,0.655827,-0.0308758,-0.298686,-1.07944,-2.5327E-16
feb-12,0.604868,,0.553634,-0.0158287,-0.319285,-0.823388,-1.52656E-16
mar-12,0.412059,,0.465936,-0.00410842,-0.298686,-0.5752,1.67401E-16
abr-12,,-0.0144117,0.576252,-0.0128647,-0.308642,-0.240334,2.94903E-17
may-12,,-0.352991,0.669708,-0.0180314,-0.298686,0,1.35308E-16
jun-12,,-0.455563,0.777692,-0.0134866,-0.308642,0,6.93889E-18
jul-12,,-0.382681,0.696451,-0.015084,-0.298686,0,2.39392E-16
ago-12,,-0.397387,0.721595,-0.0255221,-0.298686,0,-2.25514E-16
sept-12,,-0.335891,0.941441,-0.0534232,-0.308642,-0.243485,2.70617E-16
oct-12,,-0.0261574,0.746457,-0.0719874,-0.298686,-0.349626,8.32667E-17
nov-12,0.675092,,0.683829,-0.0637454,-0.308642,-0.986534,-2.22045E-16
dic-12,0.653762,,0.573451,-0.0317786,-0.298686,-0.896749,-1.11022E-16
ene-13,0.635907,,0.371706,-0.0263079,-0.298686,-0.682619,-2.11636E-16
feb-13,0.548131,,0.324869,-0.0236575,-0.330688,-0.518654,2.11636E-16
mar-13,0.38019,,0.323868,-0.0048399,-0.298686,-0.400532,-3.64292E-17
abr-13,0.257703,,0.353937,-0.00773831,-0.308642,-0.29526,4.16334E-17
may-13,,-0.207993,0.516305,-0.0096259,-0.298686,0,-1.04083E-16
jun-13,,-0.449302,0.772861,-0.0149169,-0.308642,0,-3.46945E-18
jul-13,,-0.407262,0.720843,-0.0148948,-0.298686,0,9.54098E-17
ago-13,,-0.42846,0.750247,-0.0231012,-0.298686,0,1.14492E-16
sept-13,,-0.282902,0.858694,-0.0276419,-0.308642,-0.239508,9.71445E-17
oct-13,0.0701144,,0.808617,-0.0172129,-0.298686,-0.562833,1.76942E-16
nov-13,0.331085,,0.87855,-0.0314894,-0.308642,-0.869503,-1.52656E-16
dic-13,0.441169,,0.61709,-0.0118125,-0.298686,-0.747761,8.67362E-17
ene-14,0.427629,,0.454592,-0.0162245,-0.298686,-0.567311,-6.93889E-17
feb-14,0.411163,,0.317932,-0.00945106,-0.330688,-0.388957,-7.45931E-17
mar-14,0.306827,,0.311415,-0.00963564,-0.298686,-0.30992,1.73472E-18
abr-14,0.194637,,0.328078,-0.00657303,-0.266514,-0.249629,4.0766E-17
may-14,,-0.251416,0.379566,-0.00138463,-0.0745341,-0.0522318,-8.37004E-17
jun-14,,-0.237283,0.554887,-0.00896192,-0.308642,0,8.67362E-18
jul-14,,-0.171994,0.48955,-0.0135404,-0.298686,-0.00532967,1.73472E-17
ago-14,,-0.0853119,0.432368,-0.020685,-0.298686,-0.027685,-9.71445E-17
sept-14,,-0.0471232,0.433567,-0.0252239,-0.308642,-0.0525776,2.77556E-17
oct-14,0.361603,,0.340735,-0.0325738,-0.298686,-0.371079,4.85723E-17
nov-14,0.341172,,0.219601,-0.0146524,-0.308642,-0.237479,-4.16334E-17
dic-14,0.120362,,0.190671,-0.00875329,-0.15935,-0.14293,5.20417E-18
ene-15,,-0.0313719,0.20413,-0.00111309,-0.0466278,-0.125017,-9.32414E-18
feb-15,0.0109331,,0.199033,-0.00359018,-0.0839988,-0.122377,9.1073E-18
mar-15,,-0.111408,0.283241,-0.00253703,-0.0667006,-0.102596,3.46945E-18
abr-15,0.150632,,0.0998894,-0.00702608,-0.179641,-0.0638544,-2.60209E-18
may-15,,-0.170315,0.276987,-0.000373645,-0.034499,-0.0717996,3.64292E-17
jun-15,,-0.120815,0.361558,-0.00110321,-0.210924,-0.0287161,-1.0018E-16
jul-15,,-0.0568645,0.365008,-0.00945759,-0.298686,0,-2.94903E-17
