Yr,Mon,EST. PALPAL D
1991,7,26.064332399626522
1991,8,35.807656395891684
1991,9,59.8031746031746
1991,10,92.08235294117645
1991,11,116.09000933706817
1991,12,128.44948646125115
1992,1,160.00074696545286
1992,2,121.51288515406162
1992,3,106.10700280112044
1992,4,59.868347338935564
1992,5,40.60588235294117
1992,6,20.81680672268908
1992,7,14.213071895424832
1992,8,36.973482726423896
1992,9,61.80392156862746
1992,10,93.78963585434173
1992,11,118.0094304388422
1992,12,139.4966386554622
1993,1,156.94080298786184
1993,2,130.7577964519141
1993,3,104.63333333333338
1993,4,65.64659197012139
1993,5,41.248085901027075
1993,6,28.57712418300654
1993,7,21.59859943977591
1993,8,42.0267040149393
1993,9,61.69897292250232
1993,10,92.01699346405229
1993,11,120.81503267973858
1993,12,151.01615312791785
1994,1,161.87441643323996
1994,2,116.8472455648926
1994,3,104.42894491129783
1994,4,63.19785247432306
1994,5,37.17833800186742
1994,6,27.410644257703083
1994,7,26.576657329598504
1994,8,34.92586367880486
1994,9,60.68085901027079
1994,10,86.87572362278246
1994,11,115.60074696545286
1994,12,144.49169000933708
1995,1,155.05901027077496
1995,2,120.63688141923436
1995,3,102.69374416433239
1995,4,68.38356676003734
1995,5,37.160037348272645
1995,6,26.65592903828198
1995,7,16.4844070961718
1995,8,30.471335200746957
1995,9,61.03230625583567
1995,10,91.65816993464053
1995,11,124.23865546218488
1995,12,156.2802987861811
1996,1,161.54267040149392
1996,2,123.38225957049484
1996,3,104.5064425770308
1996,4,61.21680672268907
1996,5,36.32595704948646
1996,6,11.200560224089635
1996,7,27.234640522875818
1996,8,41.94780578898226
1996,9,65.52483660130719
1996,10,93.74780578898229
1996,11,127.04248366013071
1996,12,142.53417366946778
1997,1,155.35845004668536
1997,2,124.88608776844072
1997,3,102.96041083099907
1997,4,70.12941176470589
1997,5,40.36601307189542
1997,6,26.29411764705882
1997,7,28.740336134453777
1997,8,39.436507936507944
1997,9,60.93846872082167
1997,10,85.81297852474323
1997,11,110.74621848739494
1997,12,143.18459383753503
1998,1,160.29589169000937
1998,2,115.56013071895423
1998,3,101.54491129785245
1998,4,60.959477124183024
1998,5,38.982446311858084
1998,6,22.67002801120448
1998,7,26.264332399626525
1998,8,35.827824463118574
1998,9,59.16507936507935
1998,10,104.69299719887954
1998,11,125.7741363211951
1998,12,154.73249299719888
1999,1,162.32455648926236
1999,2,125.53576097105508
1999,3,98.6169000933707
1999,4,63.428664799253035
1999,5,38.80924369747899
1999,6,23.530158730158732
1999,7,21.27208216619981
1999,8,41.610644257703086
1999,9,59.72408963585434
1999,10,91.71045751633987
1999,11,121.82950513538749
1999,12,148.37535014005604
2000,1,160.87656395891693
2000,2,114.98832866479925
2000,3,102.54752567693745
2000,4,62.01139122315593
2000,5,34.250233426704014
2000,6,30.543043884220364
2000,7,20.88636788048553
2000,8,39.07161531279178
2000,9,58.24985994397758
2000,10,93.50756302521009
2000,11,118.787675070028
2000,12,153.3205415499533
2001,1,155.27282913165266
2001,2,127.03492063492065
2001,3,102.01092436974793
2001,4,63.10999066293184
2001,5,37.28356676003735
2001,6,23.70084033613445
2001,7,34.23893557422969
2001,8,40.37861811391223
2001,9,57.58851540616246
2001,10,94.09747899159665
2001,11,117.90233426704017
2001,12,162.40224089635853
2002,1,157.92838468720822
2002,2,120.32268907563025
2002,3,96.27161531279177
2002,4,61.18253968253969
2002,5,35.70569561157796
2002,6,11.406629318394025
2002,7,25.998039215686283
2002,8,37.54425770308123
2002,9,59.674883286648
2002,10,88.90261437908497
2002,11,115.09943977591035
2002,12,142.9423902894491
2003,1,161.11400560224092
2003,2,127.78328664799251
2003,3,107.64901960784314
2003,4,62.54780578898226
2003,5,35.727731092436976
2003,6,31.016900093370676
2003,7,22.744631185807652
2003,8,38.95816993464052
2003,9,63.31139122315594
2003,10,100.16050420168068
2003,11,122.17124183006531
2003,12,146.4089635854342
2004,1,163.57553688141925
2004,2,122.0904761904762
2004,3,104.70476190476191
2004,4,61.69271708683473
2004,5,34.02745098039215
2004,6,26.084033613445378
2004,7,30.380952380952376
2004,8,38.56685340802988
2004,9,63.01774042950514
2004,10,85.17478991596639
2004,11,108.00821661998133
2004,12,148.65378151260504
2005,1,162.09150326797385
2005,2,123.23174603174603
2005,3,102.86657329598505
2005,4,65.41895424836602
2005,5,38.52679738562091
2005,6,23.06732026143791
2005,7,28.43025210084034
2005,8,35.777684407096174
2005,9,59.86629318394024
2005,10,90.64024276377218
2005,11,117.9780578898226
2005,12,146.3892623716153
2006,1,162.12941176470588
2006,2,122.07553688141925
2006,3,105.59187675070028
2006,4,65.18394024276377
2006,5,36.72306255835667
2006,6,26.211017740429504
2006,7,30.669561157796455
2006,8,42.40989729225023
2006,9,62.97535014005603
2006,10,88.47273576097106
2006,11,123.19281045751632
2006,12,144.99729225023344
2007,1,160.08272642390293
2007,2,117.13800186741365
2007,3,101.36358543417367
2007,4,64.8468720821662
2007,5,32.68506069094305
2007,6,15.497945845004672
2007,7,20.030999066293187
2007,8,13.238188608776845
2007,9,61.626330532212876
2007,10,91.83202614379084
2007,11,124.37927170868346
2007,12,147.57497665732956
2008,1,161.02670401493933
2008,2,118.29915966386555
2008,3,104.06349206349208
2008,4,66.33818860877685
2008,5,37.868534080298794
2008,6,22.189075630252102
2008,7,30.819234360410828
2008,8,38.45415499533147
2008,9,65.87871148459384
2008,10,97.9813258636788
2008,11,128.79607843137254
2008,12,151.15378151260504
2009,1,168.97058823529412
2009,2,128.38823529411764
2009,3,113.89038281979461
2009,4,71.17544351073762
2009,5,38.385807656395876
2009,6,23.576657329598508
2009,7,22.44575163398693
2009,8,39.171521942110175
2009,9,60.00746965452848
2009,10,92.07600373482727
2009,11,108.69925303454711
2009,12,140.1054154995332
2010,1,165.13043884220352
2010,2,119.62306255835671
2010,3,110.37404295051354
2010,4,66.32268907563024
2010,5,36.571895424836605
2010,6,26.288422035480863
2010,7,20.486181139122312
2010,8,31.68571428571428
2010,9,63.04948646125116
2010,10,93.47731092436976
2010,11,118.59290382819796
2010,12,143.34154995331468
2011,1,155.15723622782446
2011,2,119.61942110177407
2011,3,101.5953314659197
2011,4,69.36078431372549
2011,5,37.16106442577031
2011,6,24.926890756302516
2011,7,21.729505135387484
2011,8,33.60046685340802
2011,9,66.23249299719889
2011,10,94.96676003734827
2011,11,120.24416433239965
2011,12,158.3091503267974
2012,1,161.63968253968252
2012,2,117.20718954248366
2012,3,108.86862745098038
2012,4,62.363678804855276
2012,5,38.469747899159664
2012,6,26.651540616246493
2012,7,20.506255835667602
2012,8,36.95611577964519
2012,9,62.56283846872082
2012,10,88.50597572362278
2012,11,122.79551820728294
2012,12,136.05303454715215
2013,1,158.3672268907563
2013,2,117.81456582633052
2013,3,98.24201680672269
2013,4,65.5484593837535
2013,5,38.85919701213819
2013,6,26.1485527544351
2013,7,27.162651727357613
2013,8,37.46433239962652
2013,9,55.794864612511674
2013,10,100.59934640522876
2013,11,124.80466853408028
2013,12,164.13482726423902
2014,1,167.52138188608777
2014,2,115.39337068160597
2014,3,104.13772175536882
2014,4,61.06638655462184
2014,5,34.96900093370682
2014,6,24.508029878618114
2014,7,28.77544351073763
2014,8,43.28244631185808
2014,9,57.69374416433241
2014,10,99.30765639589168
2014,11,120.38758169934641
2014,12,151.28216619981325
2015,1,172.88496732026144
2015,2,126.16311858076565
2015,3,109.17329598506069
2015,4,64.55975723622781
2015,5,37.219981325863685
2015,6,26.754154995331465
2015,7,23.94612511671335
2015,8,37.424929971988796
2015,9,55.34575163398693
2015,10,82.47273576097106
2015,11,115.15704948646126
2015,12,152.41643323996266
2016,1,150.12380952380954
2016,2,128.9638655462185
2016,3,113.34201680672271
2016,4,53.056956115779634
2016,5,32.05985060690943
2016,6,16.490662931839402
2016,7,24.254808590102705
2016,8,46.897385620915045
2016,9,70.4266106442577
2016,10,86.01008403361345
2016,11,127.25863678804856
2016,12,153.56321195144724
2017,1,175.50980392156865
2017,2,127.2688141923436
2017,3,108.23211951447246
2017,4,60.95378151260505
2017,5,34.3516339869281
2017,6,26.864985994397752
2017,7,24.58562091503268
2017,8,36.85760971055088
2017,9,61.05770308123249
2017,10,87.2031746031746
2017,11,119.25135387488325
2017,12,149.3673202614379
2018,1,152.6239962651727
2018,2,125.20056022408963
2018,3,108.96629318394024
2018,4,62.99775910364146
2018,5,33.76190476190476
2018,6,19.489915966386558
2018,7,16.590102707749764
2018,8,35.82847805788982
2018,9,61.90569561157796
2018,10,77.53725490196078
2018,11,109.28860877684406
2018,12,143.84024276377215
2019,1,153.76760037348276
2019,2,129.2545284780579
2019,3,115.18272642390289
2019,4,67.64117647058822
2019,5,42.065452847805794
2019,6,25.13454715219421
2019,7,25.60401493930906
2019,8,40.93613445378153
2019,9,62.971055088702144
2019,10,89.03258636788047
2019,11,127.07516339869281
2019,12,159.1362278244631
2020,1,170.65350140056023
2020,2,132.48730158730157
2020,3,118.00532212885153
2020,4,77.25667600373482
2020,5,45.78506069094304
2020,6,22.894771241830068
2020,7,22.349579831932772
2020,8,35.4390289449113
2020,9,62.23221288515406
2020,10,99.24229691876751
2020,11,126.48057889822593
2020,12,151.8513538748833
2021,1,158.9655462184874
2021,2,116.64631185807657
2021,3,103.35284780578895
2021,4,65.90868347338937
2021,5,38.54761904761905
2021,6,27.442857142857147
2021,7,32.08216619981326
2021,8,41.051167133520075
2021,9,60.963772175536874
2021,10,95.84948646125119
2021,11,123.54108309990664
2021,12,156.7676003734827
2022,1,155.37563025210085
2022,2,130.73772175536882
2022,3,113.90102707749766
2022,4,64.52278244631185
2022,5,37.31083099906629
2022,6,21.45536881419234
2022,7,15.91017740429505
2022,8,37.43482726423903
2022,9,60.84687208216619
2022,10,91.32044817927171
2022,11,129.20345471521944
