Yr,Mon,RIO LARQUI A
2011,11,22.18009697131242
2011,12,0.5933466781361326
2012,1,11.659766382744467
2012,2,78.19942936622397
2012,3,3.938239411358228
2012,4,15.968682693994669
2012,5,167.1434832498468
2012,6,233.74132670751013
2012,7,37.736105001270566
2012,8,118.49491094402019
2012,9,22.230304583367655
2012,10,51.45825575952851
2012,11,53.324739995377264
2012,12,108.66271787075162
2013,1,3.5857083965966137
2013,2,31.298919919507735
2013,3,9.040801732512728
2013,4,16.627906978629614
2013,5,199.95275259546202
2013,6,182.10626114321857
2013,7,141.71826567855632
2013,8,122.35743044457067
2013,9,66.51864380131354
2013,10,43.200051627687614
2013,11,8.498510387625819
2013,12,0.045622600665271455
2014,1,14.047181968309019
2014,2,12.170043417914371
2014,3,73.95259051692798
2014,4,30.414732035481588
2014,5,154.24440238995334
2014,6,287.03935814813735
2014,7,265.6266851768088
2014,8,150.06722307265994
2014,9,141.8125657944847
2014,10,15.327445024683906
2014,11,3.9195545260745916
2014,12,17.929620714174355
2015,1,0.04853336415796374
2015,2,1.134814688947135
2015,3,4.340006363914963
2015,4,26.478041493864758
2015,5,87.16334973218459
2015,6,135.52727208913186
2015,7,287.71654561279377
2015,8,254.2567450611281
2015,9,90.92530312938759
2015,10,116.2737125526989
2015,11,11.001204261952907
2015,12,4.421897778602793
2016,1,12.648784282753676
2016,2,0.726576589903318
2016,3,7.008019574345219
2016,4,120.48073704451595
2016,5,82.33038845666071
2016,6,7.171981880493146
2016,7,228.21731342609831
2016,8,76.70899235430457
2016,9,27.2554641908939
2016,10,91.99616109500208
2016,11,16.12318574538691
2016,12,37.139726941089926
2017,1,8.203772225490413
2017,2,8.86795350905126
2017,3,22.79673882010249
2017,4,43.17783084576251
2017,5,120.87836593445007
2017,6,230.84658708183065
2017,7,112.55549149306425
2017,8,289.05864858028167
2017,9,86.44689717686046
2017,10,82.50159255137892
2017,11,61.82998910922398
2017,12,6.554523994105541
2018,1,17.89282461202413
2018,2,6.93062656589008
2018,3,56.475594530994286
2018,4,66.8601165388648
2018,5,121.14051744525324
2018,6,100.79139566801935
2018,7,119.52038109478023
2018,8,88.67799613416604
2018,9,157.58913376070402
2018,10,88.67645378115762
2018,11,101.04250284815294
2018,12,12.251316039602575
2019,1,13.187702078123259
2019,2,6.607762317607618
2019,3,19.309911606904848
2019,4,10.20557449452231
2019,5,197.49506055191242
2019,6,332.303438964539
2019,7,91.59774094991005
2019,8,68.26328928880483
2019,9,55.71694778812839
2019,10,29.157795315522396
2019,11,9.59698949999711
2019,12,8.28824480377306
2020,1,5.089227473251292
2020,2,4.0476677739651565
2020,3,15.552978303557502
2020,4,42.6167311451318
2020,5,38.18543838473966
2020,6,316.89731806768225
2020,7,192.50424986317466
2020,8,76.6728524214341
2020,9,42.57755503793897
2020,10,12.74743063760935
2020,11,1.6958107482488132
2020,12,6.109634977154478
2021,1,54.91208584457338
2021,2,7.634779691625896
2021,3,3.2271957356537126
2021,4,36.84085197707333
2021,5,159.96824877304243
2021,6,177.60293509862535
2021,7,54.6357551394856
2021,8,147.40130373406316
2021,9,57.6662246704334
2021,10,16.277882960849606
2021,11,4.800684674699194
2021,12,3.7304162424754157
2022,1,8.144394150241176
2022,2,13.483983456493881
2022,3,10.250716844926453
2022,4,133.3644204118679
2022,5,86.146269218229
2022,6,174.86452610602063
2022,7,232.34712670456662
2022,8,125.3697960935127
2022,9,34.27884494152585
2022,10,25.84203165260451
2022,11,20.531795424714634
2022,12,4.5760988268438885
2023,1,6.99009912953138
2023,2,0.13336564210170443
2023,3,2.2793589752629364
2023,4,45.199876785755364
2023,5,84.92822973381456
2023,6,274.8805395799505
2023,7,167.36873939382295
2023,8,218.39093071818974
2023,9,171.48281786414967
2023,10,42.239954454944034
2023,11,12.46288103256535
