date,0,1,2,3,4,5,6,7
1982-10-30,0.1554090579350789,0.389997474068687,0.5507784674253985,0.5588931794453083,0.7361044865626835,0.6471705185382115,0.6523025035858154,0.6523025035858154
1982-10-31,0.1488508780797322,0.3833387038537435,0.5464201069375795,0.5545273902793185,0.7352696783027179,0.6476037118509624,0.6527505318323771,0.6527505318323771
1982-11-01,0.1446941296259562,0.3808485293672198,0.5475450278499362,0.5557019081080508,0.7414076598071571,0.6540457675939272,0.6593489249547323,0.6593489249547323
1982-11-02,0.1442329486211141,0.3819977988799413,0.5515291431771238,0.559672009988934,0.7491802503816134,0.6607978676798676,0.6663937568664551,0.6663937568664551
1982-11-03,0.1431878010431925,0.3822673606021063,0.5532638700261594,0.5613798787026405,0.7527679274759687,0.6637420667881979,0.669556458791097,0.669556458791097
1982-11-04,0.141418178876241,0.381192516996747,0.5529322901556578,0.5609964802586098,0.7534303261763104,0.664196111537792,0.6700505415598551,0.6700505415598551
1982-11-05,0.1416780948638916,0.3821477225848607,0.5547860819112311,0.562785268790292,0.756408022610243,0.6661798627967509,0.672259251276652,0.672259251276652
1982-11-06,0.1394086281458536,0.380169424130803,0.5536065697304086,0.5616254583626394,0.7565011435975568,0.6664113818410454,0.6724271376927694,0.6724271376927694
1982-11-07,0.1373522679011027,0.3773282180229824,0.5520191980769401,0.5602214305582522,0.7573864423789068,0.6676013079124299,0.6733447313308716,0.6733447313308716
1982-11-08,0.1333069403966268,0.3706638822952907,0.5461037369722819,0.5545072759626375,0.7539788784536002,0.6653846760421057,0.6703041791915894,0.6703041791915894
1982-11-09,0.1285094022750854,0.3617533455292384,0.5377569701351075,0.5464008353868158,0.7488579853496428,0.6619910497611065,0.6655810276667277,0.6655810276667277
1982-11-10,0.1239302158355712,0.3528934241760345,0.5293273559152312,0.5381826464063011,0.743707015647116,0.6585603585610024,0.6607044140497843,0.6607044140497843
1982-11-11,0.1199722687403361,0.3451640374603725,0.5218953538921584,0.5309260116402996,0.7390688372451332,0.6556927634779884,0.6565453211466471,0.6565453211466471
1982-11-12,0.1146779060363769,0.3348521123329799,0.511839255589953,0.5210913986757962,0.7323606575388714,0.6512363401912896,0.650445024172465,0.650445024172465
1982-11-13,0.1086186170578002,0.3227983856485004,0.5000260102375657,0.5095112248930046,0.724388091958957,0.6458625185523619,0.6430127223332723,0.6430127223332723
1982-11-14,0.1026574770609537,0.3110099020458403,0.4883517392798389,0.4979707551266611,0.7161018338999883,0.6398178549573632,0.6346262693405151,0.6346262693405151
1982-11-15,0.0955889225006103,0.297017574877966,0.4741584675819907,0.4838131391669968,0.7049339734723581,0.6308576619183576,0.6223181088765463,0.6223181088765463
