,0,1,2,3,4,5,6,7,8
2004-05-11,0.0,0.0,0.0,0.0,0.0,0.001000896968307689,0.0007640843036751744,0.0,0.0
2004-05-12,0.0,0.0,0.0,0.0,0.0,0.027027307920906244,0.001110869695425122,0.0,0.0
2004-05-13,0.10605932815730221,0.10605932815730221,0.10605932815730221,0.0,0.0,0.0734320720758105,0.02065606957198443,0.009586957094394983,0.009586957094394983
2004-05-14,0.0,0.0,0.0,0.0,0.0005900283225393314,0.01683308022727041,0.0008210073224148617,0.0,0.0
2004-05-15,0.057281490654973254,0.057281490654973254,0.057281490654973254,0.0,0.0,0.048423850592265935,0.02358131318790909,0.01077782636662874,0.01077782636662874
2004-05-16,0.0,0.0,0.0,0.0,0.0,0.00835801733981997,0.00459607441313382,0.0,0.0
2004-05-17,0.0,0.0,0.0,0.0,0.0,0.014765061936062546,0.005598626198022037,0.0,0.0
2004-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-19,0.0,0.0,0.0,0.0,0.0,0.0028709424956103327,0.001216326907450962,0.0,0.0
2004-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-22,0.5559695017965216,0.5559695017965216,0.5559695017965216,0.0,0.0035655156125362084,0.1223874932127769,0.2325668879596414,0.5197960654026054,0.5197960654026054
2004-05-23,0.0,0.0,0.0,0.0,0.019434946536284588,0.05967835036616704,0.004311510168736613,0.0,0.0
2004-05-24,0.37741215117493565,0.37741215117493565,0.37741215117493565,0.0,0.004251696745941113,0.07502779059980819,0.15191606796288054,0.42736061073434267,0.42736061073434267
2004-05-25,0.5604752981871889,0.5604752981871889,0.5604752981871889,0.0,0.001662956830207378,0.07014515187403973,0.07680775659438525,0.349059973849876,0.349059973849876
2004-05-26,0.36752804312092513,0.36752804312092513,0.36752804312092513,0.0,0.0,0.018863964669065307,0.024999114779049505,0.21030890217963133,0.21030890217963133
2004-05-27,0.22078643608511536,0.22078643608511536,0.22078643608511536,0.0,0.0,0.028046671090777055,0.030620207337506207,0.12968639562855233,0.12968639562855233
2004-05-28,0.10917049158386319,0.10917049158386319,0.10917049158386319,0.0,0.0,0.0,0.00413885519979679,0.18023324777886449,0.18023324777886449
2004-05-29,0.22837710485123747,0.22837710485123747,0.22837710485123747,0.0,0.0,0.014504790622158122,0.01713757114972122,0.06109162882754679,0.06109162882754679
2004-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-31,0.1154007277293512,0.1154007277293512,0.1154007277293512,0.0,0.0,0.006073028621998123,0.0007954973036245955,0.0013241783728246497,0.0013241783728246497
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.00851892382198842,0.00010950713620672188,0.0,0.0
2004-06-02,0.0,0.0,0.0,0.0,0.0,0.004523999901767043,0.00011975228180775828,0.0,0.0
2004-06-03,0.0,0.0,0.0,0.0,0.0,0.0008793801756386589,0.0,0.0,0.0
2004-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-05,0.10086480358190703,0.10086480358190703,0.10086480358190703,0.0,0.0,0.006888494959217107,0.0012451755044870358,0.022835838964855328,0.022835838964855328
2004-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-07,0.0,0.0,0.0,0.0,0.0,0.00837460359215442,0.00010859076807182165,0.0,0.0
2004-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-09,0.5631302480112041,0.5631302480112041,0.5631302480112041,0.5371202826499939,0.5224208344168937,0.5300426297438992,0.5382413666601414,0.5748223646106092,0.5748223646106092
2004-06-10,0.5275298106042962,0.5275298106042962,0.5275298106042962,0.0,0.5633082205586601,0.5596171135529191,0.5067739883173455,0.5057508792598585,0.5057508792598585
2004-06-11,0.2425676061396013,0.2425676061396013,0.2425676061396013,0.0,0.26417061438838085,0.5056030969414318,0.467016231413898,0.44706418407909815,0.44706418407909815
2004-06-12,0.26904359756157414,0.26904359756157414,0.26904359756157414,0.0,0.20398280510505432,0.38056134109410633,0.3235914502140043,0.15642357662679046,0.15642357662679046
2004-06-13,0.0,0.0,0.0,0.0,0.0,0.0,5.191626531269296e-05,0.01463677703430353,0.01463677703430353
2004-06-14,0.19225130007978067,0.19225130007978067,0.19225130007978067,0.0,0.0252510121095131,0.2043917571244704,0.21054099084606803,0.046755042536571347,0.046755042536571347
2004-06-15,0.0,0.0,0.0,0.0,0.0,0.00148573505121972,0.008255190502937717,8.540066834755185e-05,8.540066834755185e-05
2004-06-16,0.44552631946335053,0.44552631946335053,0.44552631946335053,0.0,0.05397923343163876,0.06770606506881072,0.2101445134402463,0.44827880369138784,0.44827880369138784
2004-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-18,0.13824660143657036,0.13824660143657036,0.13824660143657036,0.0,0.0,0.02131724574452288,0.08843211035868427,0.1308733485353302,0.1308733485353302
2004-06-19,0.17461366297905903,0.17461366297905903,0.17461366297905903,0.0,0.0,0.0217038088236123,0.07653875505319645,0.02964801776100759,0.02964801776100759
2004-06-20,0.07297772064543606,0.07297772064543606,0.07297772064543606,0.43140724301338196,0.3300596582239029,0.21086892792886472,0.1006502880333821,0.01814676662516531,0.01814676662516531
2004-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.02416239935325685,0.03147726027057386,0.03147726027057386
