Yr,Mon,EST. CHACAY B
2006,11,29.6520784391418
2006,12,123.76257619008271
2007,1,39.36873176717404
2007,2,94.51289815381061
2007,3,45.214182810305324
2007,4,114.45295172819937
2007,5,45.86290608509763
2007,6,184.44919242630522
2007,7,362.7513591785948
2007,8,175.38024651005992
2007,9,103.055961775314
2007,10,59.14419285646575
2007,11,15.051835468209754
2007,12,37.83112567216335
2008,1,29.94949949084751
2008,2,25.801522223266634
2008,3,36.869268689625386
2008,4,120.82360344755149
2008,5,630.9301880972299
2008,6,209.88031230740918
2008,7,265.0423743891076
2008,8,392.3850837525467
2008,9,77.28807618004329
2008,10,52.80552465004402
2008,11,27.389868425294747
2008,12,34.53691090824625
2009,1,7.557058690950996
2009,2,30.760916383191596
2009,3,13.261353753582645
2009,4,81.01532782720051
2009,5,411.90389234717424
