Transmission Link,Transmission Link from AC_01 to Veg_Riparia AC01,Transmission Link from AC_02 to Agua Potable_AC02,Transmission Link from AC_02 to Veg_Riparia AC02,Transmission Link from AC_03 to Agua Potable_AC03,Transmission Link from AC_03 to Veg_Riparia AC_03,Transmission Link from Withdrawal Node 1 to ZR_Gavino_ANU,Transmission Link from Withdrawal Node 10 to ZR_Cunlagua_FRU,Transmission Link from Withdrawal Node 11 to ZR_Los Guindos_ANU,Transmission Link from Withdrawal Node 12 to ZR_Huanque_FRU,Transmission Link from Withdrawal Node 13 to ZR_Chanar Chalinga_ANU,Transmission Link from Withdrawal Node 14 to ZR_Arboleda Grande_FRU,Transmission Link from Withdrawal Node 15 to ZR_Chalinga_FRU,Transmission Link from Withdrawal Node 16 to ZR_Tebal_FRU,Transmission Link from Withdrawal Node 17 to ZR_Chilcas_FRU,Transmission Link from Withdrawal Node 2 to ZR_Destiladera_ANU,Transmission Link from Withdrawal Node 20 to ZR_Batuco Chalinga_ANU,Transmission Link from Withdrawal Node 21 to ZR_Molino de Zapallar_ANU,Transmission Link from Withdrawal Node 22 to ZR_Toma Ranque_ANU,Transmission Link from Withdrawal Node 23 to ZR_Palquial_ANU,Transmission Link from Withdrawal Node 24 to ZR_Valentino_ANU,Transmission Link from Withdrawal Node 25 to ZR_Maravillal_ANU,Transmission Link from Withdrawal Node 26 to ZR_Alameda_ANU,Transmission Link from Withdrawal Node 27 to ZR_Cunlagua_ANU,Transmission Link from Withdrawal Node 29 to ZR_Huanque_ANU,Transmission Link from Withdrawal Node 3 to ZR_Batuco Chalinga_FRU,Transmission Link from Withdrawal Node 31 to ZR_Arboleda Grande_ANU,Transmission Link from Withdrawal Node 32 to ZR_Chalinga_ANU,Transmission Link from Withdrawal Node 33 to ZR_Tebal_ANU,Transmission Link from Withdrawal Node 34 to ZR_Chilcas_ANU,Transmission Link from Withdrawal Node 4 to ZR_Toma Ranque_FRU,Transmission Link from Withdrawal Node 5 to ZR_Molino de Zapallar_FRU,Transmission Link from Withdrawal Node 6 to ZR_Palquial_FRU,Transmission Link from Withdrawal Node 7 to ZR_Valentino_FRU,Transmission Link from Withdrawal Node 8 to ZR_Maravillal_FRU,Transmission Link from Withdrawal Node 9 to ZR_Alameda_FRU
dic-11,0.00718065,0.00774238,0.00849032,0.0122661,0.00849032,0,0,0.00623963,0,0.00766855,0,0,0,0,0,0.0460528,0.0240884,0.0061855,0.0961305,0.000933858,0.00601579,0.00970308,0.0352093,0.0210899,0.00963657,0.0171144,0.0219572,0.0546368,0.0267413,0,0,0,0,0,0
ene-12,0.00684194,0.00774238,0.00799355,0.0122661,0.00799355,0,0,0.00761558,0,0.00701466,0,0,0,0,0,0.0541259,0.0294004,0.00754952,0.0932404,0.000933858,0.00610983,0.0090526,0.0429736,0.0257407,0.0138441,0.0208884,0.0267992,0.0666853,0.0326382,0,0,0,0,0,0
feb-12,0.00697586,0.00827634,0.0078931,0.0131121,0.0078931,0,0,0.0052661,0,0.00399543,0,0,0,0,0,0.0415929,0.0183219,0.00548674,0.0655358,0.000783148,0.00528101,0.00524053,0.0315026,0.0206981,0.0178457,0.0182666,0.020165,0.0583151,0.0285415,0,0,0,0,0,0
mar-12,0.00609677,0.00774238,0.00681935,0.0122661,0.00681935,0,0,0.0021767,0,0.00211965,0,0,0,0,0,0.0322111,0.0117993,0.00332007,0.0456469,0.000557911,0.0042388,0.00316919,0.0198982,0.0117307,0.0219877,0.0166563,0.0121612,0.0359819,0.0165995,0,0,0,0,0,0
abr-12,0.0084,0.00800046,0.0107333,0.012675,0.0107333,0,0,0.000949405,0,0.000884001,0,0,0,0,0,0.0227999,0.00537338,0.00134141,0.0223224,0.000240331,0.00232172,0.00133603,0.00954989,0.00594578,0.0217388,0.00945852,0.0063226,0.0157062,0.00803187,0,0,0,0,0,0
may-12,0.00808387,0.00774238,0.0103871,0.0122661,0.0103871,0,0,0.000485937,0,0.000384066,0,0,0,0,0,0.00714704,0.00108568,0.000322443,0.00787334,9.94273E-05,0.00115051,0.000597826,0.00350227,0.00274161,0.0181873,0.00234113,0.00225684,0.00731572,0.00275974,0,0,0,0,0,0
jun-12,0.00828333,0.00800046,0.01057,0.012675,0.01057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018647,0,0,0,0.0152873,0,0,0,0,0,0,0,0,0,0
jul-12,0.00794839,0.00774238,0.0100258,0.0122661,0.0100258,0,0,0.00150316,0,0.00067834,0,0,0,0,0,0.00733831,0.00257368,0.000716952,0.00881718,5.96951E-05,0.000815646,0.000838102,0.00499179,0.0043112,0.0101795,0.00466868,0.00323208,0.0123812,0.00533682,0,0,0,0,0,0
ago-12,0.00783548,0.00774238,0.00977742,0.0122661,0.00977742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00122154,0,0,0,0,0,0,0,0,0,0
sept-12,0.00800333,0.00800046,0.0098,0.012675,0.0098,0,0,0.00401791,0,0.00204498,0,0,0,0,0,0.0242305,0.00845074,0.00237635,0.0273947,0.000180248,0.0023084,0.0022693,0.0147784,0.0116387,0.00617102,0.0147343,0.00961173,0.0345212,0.0156143,0,0,0,0,0,0
