Yr,Mon,EST. SAN VICENTE C
2007,2,98.86561111985996
2007,3,49.65999815105547
2007,4,115.01270431652935
2007,5,46.565769938326284
2007,6,194.41841495282512
2007,7,383.57217931711676
2007,8,182.8396963092963
2007,9,109.28842284414826
2007,10,64.5749583667952
2007,11,16.765739111672104
2007,12,42.592882611647525
2008,1,37.48502300588634
2008,2,32.66086054400805
2008,3,39.021233035067006
2008,4,119.84473966832228
2008,5,648.997218788333
2008,6,218.61251976873606
2008,7,270.3267087020761
2008,8,412.54342073678947
2008,9,82.14675666676254
2008,10,58.066149058806054
2008,11,29.89506101121753
2008,12,40.515498626471526
2009,1,9.46577476169959
2009,2,36.09783270117637
2009,3,14.693597287085472
2009,4,89.09922568742594
2009,5,426.9156901935434
2009,6,313.0376264749834
2009,7,226.279385950407
2009,8,314.6884433406109
2009,9,170.26352951231618
2009,10,173.8791429343932
2009,11,141.63826455010405
2009,12,28.95043147800497
2010,1,15.734968038683062
2010,2,61.1985433145019
2010,3,17.13117516048568
2010,4,14.411105917123603
2010,5,98.16770570146093
2010,6,375.58661939137556
2010,7,322.61287761982425
2010,8,221.46207508791252
2010,9,31.033207678547743
2010,10,91.30957594156621
2010,11,50.14822516424564
2010,12,68.16132763315775
2011,1,66.07455931398988
2011,2,47.82171326014266
2011,3,78.90155276869638
2011,4,153.72139894254926
2011,5,61.145098095589375
2011,6,362.76767116743457
2011,7,290.55258535362435
2011,8,433.90701449138237
2011,9,145.08125999870202
2011,10,48.567414682714976
2011,11,64.6433366784956
2011,12,5.356260023642306
2012,1,45.549021787478
2012,2,170.23886069715152
2012,3,21.373365058503477
2012,4,28.062163664508827
2012,5,317.5424267577273
2012,6,366.19197517660893
2012,7,102.8781658437008
2012,8,164.30141461898313
2012,9,40.35723006958917
2012,10,103.10101482540743
2012,11,98.58757934642264
2012,12,231.74548653294707
2013,1,28.21493029893924
2013,2,75.36139835465166
2013,3,24.06022876980385
2013,4,34.8899608348307
2013,5,336.74165582453145
2013,6,261.241343772646
2013,7,245.3846399096731
2013,8,246.80757952451893
2013,9,211.36679892049187
2013,10,98.5966625966788
2013,11,38.302153815545566
2013,12,0.6788902210802121
2014,1,34.28553056162339
2014,2,31.219324705002613
2014,3,77.34650062326457
2014,4,51.38548404073427
2014,5,238.34934294659644
2014,6,408.8950898748762
2014,7,383.9021988205673
2014,8,295.5680310138813
2014,9,283.36034484061446
2014,10,65.01848509354832
2014,11,21.529982825371775
2014,12,46.61549908824879
2015,1,0.9782483779756145
2015,2,3.9653881936395585
2015,3,12.063322489356002
2015,4,39.296961740206335
2015,5,148.12399047085384
2015,6,294.8512066854904
2015,7,420.33787185149515
2015,8,491.4423143777996
2015,9,168.43413815334242
2015,10,178.8882986589551
2015,11,58.77092775470876
2015,12,20.879421144940864
2016,1,30.492765768632566
2016,2,13.32781106619766
2016,3,8.383500635852005
2016,4,237.6825893135942
2016,5,98.78847267525703
2016,6,20.213178173445215
2016,7,317.8376164946043
2016,8,202.32757112239443
2016,9,58.286551329828995
2016,10,187.38331922613037
2016,11,44.38901829294258
2016,12,61.83661093166616
2017,1,23.74902915153134
2017,2,36.68732775848214
2017,3,52.55613690979134
2017,4,99.21045307879565
2017,5,209.7984201074491
2017,6,384.1646880665127
2017,7,211.33990340731881
2017,8,394.4949209112558
2017,9,139.55779801838312
2017,10,211.9017604923802
2017,11,104.27412422063709
2017,12,27.28330744734794
2018,1,37.74950541750807
2018,2,25.62186428767845
2018,3,93.29953246181451
2018,4,172.62056206306775
2018,5,164.25670332475144
2018,6,237.31887367669725
2018,7,144.28811507442353
2018,8,171.74207656256334
2018,9,319.6711506208878
2018,10,210.19311216649052
2018,11,119.81897148667926
2018,12,50.07214417049562
2019,1,59.15504934450431
2019,2,17.617409191332232
2019,3,19.694452116402726
2019,4,30.603423418000506
2019,5,286.9460411048911
2019,6,461.6323303053782
2019,7,197.02056939443497
2019,8,147.56659684559702
2019,9,127.42843438572288
2019,10,104.22094729282463
2019,11,37.42403167130368
2019,12,16.59043228550473
2020,1,27.266283800974826
2020,2,12.041844103715805
2020,3,3.339276365752392
2020,4,82.40247106185181
2020,5,85.98490162154195
2020,6,513.0319748661033
2020,7,436.4092810017807
2020,8,168.56282461541767
2020,9,69.06170966022182
2020,10,43.24053001076999
2020,11,18.080181177199382
2020,12,50.69166932398187
2021,1,134.44985314060943
2021,2,16.610454138885842
2021,3,22.20609700845653
2021,4,52.84214560883388
2021,5,245.13929548886017
2021,6,239.11309543525587
2021,7,75.3214749557941
2021,8,315.04260538978053
2021,9,102.53941823037293
2021,10,42.37417061814376
2021,11,21.393816319905643
2021,12,21.90756576572062
2022,1,27.55675195151843
2022,2,25.065860735670885
2022,3,21.99302129995813
2022,4,318.71249493563283
2022,5,117.54947906894375
2022,6,278.80646809929885
2022,7,420.1041289269999
2022,8,199.62872014693914
2022,9,73.17698274806483
2022,10,89.28310295247303
2022,11,56.241709898302545
2022,12,9.931664619217903
2023,1,12.63930975327445
2023,2,0.5760904804316849
2023,3,5.93314262054766
2023,4,129.49624599198094
2023,5,180.31051198279025
2023,6,735.2504793160575
2023,7,319.2406767372486
2023,8,503.869360717719
2023,9,365.97546731452496
2023,10,92.8217716596973
2023,11,14.934967825801836
