Yr,Mon,Aportante 23
1997,1,17.57669252402934
1997,2,16.92188211861304
1997,3,16.986297391763287
1997,4,13.490620561014282
1997,5,9.873776882221023
1997,6,5.675467972836259
1997,7,6.250056972472407
1997,8,7.126866866261764
1997,9,8.329358856646593
1997,10,8.410247278048416
1997,11,11.846455822960877
1997,12,15.301672288266559
1998,1,17.462584267545537
1998,2,17.34320168760729
1998,3,14.852532643700101
1998,4,11.112625496715282
1998,5,9.722568124236147
1998,6,6.357970846934052
1998,7,5.850911827010975
1998,8,5.532049782393074
1998,9,7.216224956332894
1998,10,12.622459705909648
1998,11,13.864125423467385
1998,12,16.92398376200657
1999,1,18.692864171259828
1999,2,18.089233655059786
1999,3,13.895023254733815
1999,4,11.920031068015248
1999,5,9.1037251530351
1999,6,6.202958243849594
1999,7,4.005354978652861
1999,8,6.448838131436901
1999,9,7.251446672572456
1999,10,11.23480216843717
1999,11,13.990485487684737
1999,12,16.071895216852738
2000,1,17.325475706862107
2000,2,15.38801540907616
2000,3,13.772687408505703
2000,4,11.874930876751648
2000,5,8.102682972806065
2000,6,5.658197576088185
2000,7,3.8039378183405574
2000,8,5.950492690155727
2000,9,6.741272222299813
2000,10,10.758623826597216
2000,11,12.644580598604875
2000,12,16.224063213383886
2001,1,16.493742900088534
2001,2,17.702138788301795
2001,3,15.487263259275892
2001,4,10.81369890331547
2001,5,7.686795122436138
2001,6,5.456333855810385
2001,7,5.596371480748132
2001,8,6.800604103857324
2001,9,7.538408722670965
2001,10,11.774490643086438
2001,11,12.125660039251613
2001,12,19.122912860242593
2002,1,18.577877236073107
2002,2,18.42847753544794
2002,3,13.18616700719042
2002,4,9.81044826435732
2002,5,7.680592556774968
2002,6,3.865989490372556
2002,7,5.168445520625198
2002,8,6.5099174434856195
2002,9,7.119189167920695
2002,10,9.214319201525598
2002,11,11.82742799410488
2002,12,15.693475130101035
2003,1,17.78491468295738
2003,2,16.819713872627858
2003,3,16.994250958044518
2003,4,11.88946877711237
2003,5,8.491008845308954
2003,6,7.75876146772714
2003,7,4.387087186559938
2003,8,6.542462001360434
2003,9,8.292071793981904
2003,10,11.168670282212702
2003,11,13.432497398103521
2003,12,14.06283233354759
2004,1,19.146674521911848
2004,2,18.334585152066268
2004,3,15.985022267153397
2004,4,10.508199366697056
2004,5,8.796637507668606
2004,6,6.206371318149081
2004,7,5.5669643806720615
2004,8,6.632774835374164
2004,9,8.212167201069178
2004,10,9.536653551560903
2004,11,12.512506104234035
2004,12,15.52672735853497
2005,1,17.27685805449886
2005,2,19.29349047712401
2005,3,14.65356682613509
2005,4,11.686842974790352
2005,5,6.137923533733556
2005,6,6.212379196224504
2005,7,5.990879709429066
2005,8,6.290541744840482
2005,9,7.168797402103564
2005,10,10.114842354406221
2005,11,13.76697358564246
2005,12,15.51850597088901
2006,1,17.87372777781377
2006,2,18.605327110044243
2006,3,14.253510385857112
2006,4,11.848961954781373
2006,5,9.244968294936598
2006,6,7.109442429264163
2006,7,6.122183359353642
2006,8,6.216775652783099
2006,9,7.871416176330797
2006,10,9.604531493620641
2006,11,13.042059991049939
2006,12,14.775117292451114
2007,1,17.74181459912495
2007,2,15.528313272628623
2007,3,14.797033754046026
2007,4,10.422312245126534
2007,5,7.347746350966418
2007,6,3.216910417201177
2007,7,2.723060608466369
2007,8,2.5670447722710605
2007,9,6.96149097988615
2007,10,9.650387136571624
2007,11,13.080528191029487
2007,12,16.209558585521336
2008,1,18.86242274518486
2008,2,19.182640390193626
2008,3,15.566642223335236
2008,4,11.215174388705918
2008,5,8.093530073908084
2008,6,5.016209698262173
2008,7,5.914102755102192
2008,8,5.103438593630017
2008,9,8.312859012223043
2008,10,10.605790517176786
2008,11,15.269740710644669
2008,12,18.000760291203676
2009,1,19.37935822995962
2009,2,17.48497955516234
2009,3,17.055537681656062
2009,4,13.690397115660687
2009,5,9.32753745062189
2009,6,6.247656063934755
2009,7,4.16444800953758
2009,8,6.111483984478525
2009,9,6.505665139738937
2009,10,9.589361915428526
2009,11,9.833956250408107
2009,12,14.736435520025452
2010,1,17.71695267955573
2010,2,15.808517632242001
2010,3,16.06304471631381
2010,4,11.390505890208715
2010,5,8.699083620797637
2010,6,5.8280608584876745
2010,7,2.28735481694639
2010,8,4.8307390442784595
2010,9,7.206910984664319
2010,10,9.997232922261503
2010,11,12.90910520427866
2010,12,14.540004738080654
2011,1,17.4122872522409
2011,2,17.449710701549122
2011,3,14.118748855034653
2011,4,11.003709621393568
2011,5,8.878004975316344
2011,6,5.2621368663234875
2011,7,3.336764950593249
2011,8,4.67928972746563
2011,9,7.8467819346771535
2011,10,9.773677986038024
2011,11,13.165423012857389
2011,12,18.11273723558503
2012,1,18.45349938490142
2012,2,16.684018615122227
2012,3,15.949419864427227
2012,4,12.007789749389815
2012,5,9.43411319524796
2012,6,7.137360396448116
2012,7,3.9959284876786683
2012,8,5.593372803332272
2012,9,9.293106358199509
2012,10,9.714866095769423
2012,11,13.72521091252844
2012,12,12.962143478477003
2013,1,19.29057314987284
2013,2,16.893753843715444
2013,3,14.62622035294038
2013,4,12.150478525036078
2013,5,7.775082026141547
2013,6,6.166021838430652
2013,7,5.63241147103372
2013,8,5.466167456069172
2013,9,6.848559021815049
2013,10,10.73414081276627
2013,11,13.237243695088523
2013,12,17.952888422584124
2014,1,18.30426287128779
2014,2,16.635486864793506
2014,3,14.739570338751719
2014,4,10.334096608278685
2014,5,8.61808339510543
2014,6,4.800292843389457
2014,7,4.886297792768801
2014,8,7.385533678038485
2014,9,7.662866044987425
2014,10,11.426497487603001
2014,11,13.045289963113419
2014,12,15.924133160554504
2015,1,19.11085571558806
2015,2,18.341511373389096
2015,3,17.180950933226654
2015,4,13.084145701133593
2015,5,8.695499995325292
2015,6,6.04431803823644
2015,7,5.4080572191213605
2015,8,6.586941356182706
2015,9,7.326136113829591
2015,10,8.903129046346123
2015,11,12.43480123135555
2015,12,16.484831116198222
2016,1,18.72918508719812
2016,2,18.408090425109037
2016,3,17.403109022487797
2016,4,10.871308967173661
2016,5,9.723119916337168
