,0,1,2,3,4,5
2000-01-19,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07,8.52346317969932e-07
2000-01-20,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-21,1.7106522136600688e-06,1.7106522136600688e-06,1.7106522136600688e-06,1.7106522136600688e-06,1.7106522136600688e-06,1.7106522136600688e-06
2000-01-22,7.867811291362159e-06,1.2619510245484208e-05,2.4855135052348487e-05,2.457810891924468e-05,2.9727155419321014e-05,3.725290116562974e-05
2000-01-23,1.7152830196209834e-06,1.7152830196209834e-06,1.7152830196209834e-06,1.7152830196209834e-06,1.7152830196209834e-06,1.7152830196209834e-06
2000-01-24,1.293522416290216e-06,1.293522416290216e-06,1.293522416290216e-06,1.293522416290216e-06,1.293522416290216e-06,1.293522416290216e-06
2000-01-25,1.2874602361989673e-06,1.2874602361989673e-06,1.2874602361989673e-06,1.2874602361989673e-06,1.2874602361989673e-06,1.2874602361989673e-06
2000-01-26,1.2925066243951733e-06,1.2925066243951733e-06,1.2925066243951733e-06,1.2925066243951733e-06,1.2925066243951733e-06,1.2925066243951733e-06
2000-01-27,8.480548848410763e-05,0.0001497495423474196,0.00031698048104544796,0.0003158584913401021,0.000395053862368123,0.0005010247229506604
2000-01-28,0.00021170432330563926,0.00031501626214499814,0.0005810445046563473,0.0006371365393430426,0.0009769435662644508,0.0012476926541467037
2000-01-29,0.00018409192551871456,0.00017113312547628875,0.0001377642153670422,0.00027180016030570187,0.0007404896800528705,0.0009417563675810925
2000-01-30,1.2963923836650793e-06,1.2963923836650793e-06,1.2963923836650793e-06,6.103074499399305e-05,0.0002741374450551145,0.0003689229401970806
2000-01-31,8.523463748133508e-07,8.523463748133508e-07,8.523463748133508e-07,7.89486548662601e-05,0.0003580772243315076,0.00048272609706145886
2000-02-01,2.5749205860847724e-06,2.5749205860847724e-06,2.5749205860847724e-06,8.9485536239987e-06,3.16598773375453e-05,4.173517220351641e-05
2000-02-02,6.279945370124551e-05,9.348542536812842e-05,0.00017250180241035196,0.00022298761386061665,0.00044377388148990403,0.0005767405032770512
2000-02-03,1.7285346416429093e-06,1.7285346416429093e-06,1.7285346416429093e-06,2.8391791958752453e-05,0.00012393941915786097,0.0001668483018306688
2000-02-04,4.351138045421976e-07,4.351138045421976e-07,4.351138045421976e-07,6.397163315858217e-05,0.0002910420429421857,0.00039242506016989864
2000-02-05,4.729175088868942e-06,4.729175088868942e-06,4.729175088868942e-06,4.7055246134484406e-05,0.0001985078313141578,0.0002663041586856707
2000-02-06,1.2934207802572928e-06,1.2934207802572928e-06,1.2934207802572928e-06,4.412504748333132e-06,1.555106280042374e-05,2.051591872032077e-05
2000-02-07,4.4107436991680515e-07,4.4107436991680515e-07,4.4107436991680515e-07,3.4055723383956284e-05,0.00015440290480446284,0.0002083420753464793
2000-02-08,1.6930310380303126e-06,1.6930310380303126e-06,1.6930310380303126e-06,2.2064437737092457e-06,4.21066793637491e-06,5.26930972455375e-06
2000-02-09,1.2886997069472272e-06,1.2886997069472272e-06,1.2886997069472272e-06,1.2886997069472272e-06,1.2886997069472272e-06,1.2886997069472272e-06
2000-02-10,1.7279272697123815e-06,1.7279272697123815e-06,1.7279272697123815e-06,1.7279272697123815e-06,1.7279272697123815e-06,1.7279272697123815e-06
2000-02-11,1.2882969713245984e-06,1.2882969713245984e-06,1.2882969713245984e-06,1.2882969713245984e-06,1.2882969713245984e-06,1.2882969713245984e-06
2000-02-12,1.7068447277779342e-06,1.7068447277779342e-06,1.7068447277779342e-06,6.573171577367083e-05,0.0002940523305838257,0.0003955147327587838
2000-02-13,0.002494937181381829,0.0024821576120894273,0.002449250221161492,0.0024874510411956926,0.002595419403635072,0.002617990970520623
2000-02-14,0.0,0.0,0.0,5.820935422723943e-06,2.6722661161844714e-05,3.6150217056274414e-05
