Yr,Mon,EST. PALPAL C
1995,5,80.1203223113957
1995,6,491.12680782304045
1995,7,469.9321405889347
1995,8,309.14213870287244
1995,9,72.87588248980065
1995,10,93.34379437809287
1995,11,19.06618384085257
1995,12,2.9790994716496084
1996,1,10.057387943948305
1996,2,25.095073935311152
1996,3,113.58777515983374
1996,4,96.77362762422476
1996,5,136.02636714711517
1996,6,204.71639555055214
1996,7,87.14049024975253
1996,8,243.02458014557735
1996,9,51.982357636785906
1996,10,62.66922932462911
1996,11,75.40916588308009
1996,12,27.46303512073129
1997,1,21.402294666864734
1997,2,49.11624260474171
1997,3,11.250475518327868
1997,4,367.0237787762455
1997,5,192.88439287854604
1997,6,523.8275941336757
1997,7,256.3437920276154
1997,8,181.2381625834549
1997,9,249.52147847517227
1997,10,230.06502688377842
1997,11,96.30458734600342
1997,12,45.715595573090496
1998,1,5.459546529497598
1998,2,43.088510539067684
1998,3,25.80301386966897
1998,4,92.1499899915379
1998,5,123.47280458900107
1998,6,111.06878913811228
1998,7,122.95447563816164
1998,8,142.87351453440812
1998,9,118.25767331973996
1998,10,5.221293568084617
1998,11,29.20305276270276
1998,12,34.87984508161131
1999,1,22.72468273727533
1999,2,22.811900234051024
1999,3,29.105992390330226
1999,4,38.08201561456018
1999,5,261.42209541608213
1999,6,445.9629732303627
1999,7,141.68215115409848
1999,8,327.6455585530441
1999,9,322.49732756899994
1999,10,37.2027934630286
1999,11,34.68088796674968
1999,12,28.062705797854587
2000,1,19.153765713523295
2000,2,207.88841854240894
2000,3,26.484747710090502
2000,4,57.529069213092015
2000,5,86.34101634987653
2000,6,803.4224653784252
2000,7,161.41016069480042
2000,8,313.5308781649944
2000,9,352.38371776804655
2000,10,73.84114465489924
2000,11,56.77416808223072
2000,12,58.3658134565635
2001,1,108.16866225885092
2001,2,10.397018016422079
2001,3,23.86559107639313
2001,4,75.77958048089819
2001,5,575.9285731030478
2001,6,315.2037705098335
2001,7,737.8211788411869
2001,8,298.67175392861304
2001,9,51.50949951684811
2001,10,49.74137300640634
2001,11,68.2286860257696
2001,12,1.1379162748380007
2002,1,19.45147074112169
2002,2,180.8143030773283
2002,3,196.7082008817179
2002,4,110.13666273952828
2002,5,261.658632867114
2002,6,295.32290868497887
2002,7,206.42722481253486
2002,8,551.3727088748466
2002,9,152.852138119631
2002,10,346.72080684982865
2002,11,125.61259713330661
2002,12,40.61390572185364
2003,1,42.66267017367748
2003,2,2.0700834775907833
2003,3,13.605520041959384
2003,4,27.2741955639481
2003,5,135.71553284398112
2003,6,481.08022388511506
2003,7,202.44251775420938
2003,8,145.06356576075402
2003,9,163.43974883340363
2003,10,130.6466666090382
2003,11,94.9680313382245
2003,12,54.69370344544045
2004,1,4.8267383110529805
2004,2,15.962455208377655
2004,3,80.83644636176506
2004,4,258.1355811164665
2004,5,50.713464470547905
2004,6,363.1379933270536
2004,7,367.6120263785797
2004,8,111.22873315275876
2004,9,170.31028924617445
2004,10,178.2998549739646
2004,11,142.36056662121223
2004,12,52.265755967633446
2005,1,13.776109174902343
2005,2,1.2325297392431922
2005,3,50.38788892758559
2005,4,25.096841921906933
2005,5,543.7544144970078
2005,6,440.34243757090024
2005,7,363.3361081422571
2005,8,455.1931131294503
2005,9,64.84517071201749
2005,10,44.83721665172709
2005,11,92.74857100787398
2005,12,81.05272811755628
2006,1,38.77045366193792
2006,2,28.840412166706034
2006,3,32.33416112645168
2006,4,171.5651230287408
2006,5,203.16644917118558
2006,6,500.8538031262153
2006,7,521.8130838558172
2006,8,321.18950734159995
2006,9,144.03360724597394
2006,10,196.69047206066554
2006,11,32.76236634591517
2006,12,135.1424768640539
2007,1,41.09545006173645
2007,2,88.05742504035679
2007,3,44.330511537851905
2007,4,118.97131946576316
2007,5,47.9934322424299
2007,6,189.65291705623213
2007,7,354.99927817263665
2007,8,175.86137555382504
2007,9,101.60286645678016
2007,10,65.58702178977771
2007,11,16.050358481869843
2007,12,43.88890862847877
2008,1,35.91932181689512
2008,2,27.32823475100533
2008,3,39.464562330974125
2008,4,121.47291497989173
2008,5,601.5833170860527
2008,6,212.1368195490576
2008,7,261.79907539583417
2008,8,391.51584997381724
2008,9,80.76162749229685
2008,10,57.24621673091298
2008,11,32.015060928633574
2008,12,39.22515475709992
2009,1,9.084483556350309
2009,2,32.59835312663541
2009,3,17.245117668908996
2009,4,86.0017551681354
2009,5,408.4643358304916
2009,6,294.43908835735635
2009,7,210.24940675167062
2009,8,301.745954226445
2009,9,160.87139781335085
2009,10,171.3175555313148
2009,11,141.3704317986419
2009,12,29.119862642309734
2010,1,16.739624813167616
2010,2,63.753732751033134
2010,3,20.213504338153356
2010,4,15.010495042916537
2010,5,91.3045332843432
2010,6,356.5548692734856
