Sources and Destinations,Decrease in Storage for AC_01,Decrease in Storage for AC_02,Decrease in Storage for AC_03,Increase in Storage for AC_01,Increase in Storage for AC_02,Increase in Storage for AC_03,Inflow from Below CA_Alameda Diverted Inflow,Inflow from Below CA_Arboleda Grande Diverted Inflow,Inflow from Below CA_Batuco Chalinga Diverted Inflow,Inflow from Below CA_Chalinga Diverted Inflow,Inflow from Below CA_Chanar Chalinga Diverted Inflow,Inflow from Below CA_Chilcas Diverted Inflow,Inflow from Below CA_Cunlagua Diverted Inflow,Inflow from Below CA_Destiladera Diverted Inflow,Inflow from Below CA_Gabino Diverted Inflow,Inflow from Below CA_Huanque Diverted Inflow,Inflow from Below CA_Los Guindos Diverted Inflow,Inflow from Below CA_Maravillal Diverted Inflow,Inflow from Below CA_Molino de Zapallar Diverted Inflow,Inflow from Below CA_Palquial Diverted Inflow,Inflow from Below CA_Tebal Diverted Inflow,Inflow from Below CA_Toma Ranque Diverted Inflow,Inflow from Below CA_Valentino Diverted Inflow,Inflow from Below CL_09 Inflow,Inflow from Below ZR_Alameda Runoff,Inflow from Runoff/Infiltration from ZR_Alameda_FRU to AC_02,Inflow from Runoff/Infiltration from ZR_Arboleda Grande_FRU to AC_03,Inflow from Runoff/Infiltration from ZR_Batuco Chalinga_FRU to AC_01,Inflow from Runoff/Infiltration from ZR_Chalinga_FRU to AC_03,Inflow from Runoff/Infiltration from ZR_Chanar Chalinga_ANU to AC_03,Inflow from Runoff/Infiltration from ZR_Chilcas_FRU to AC_03,Inflow from Runoff/Infiltration from ZR_Cunlagua_FRU to AC_03,Inflow from Runoff/Infiltration from ZR_Destiladera_ANU to AC_01,Inflow from Runoff/Infiltration from ZR_Gavino_ANU to AC_01,Inflow from Runoff/Infiltration from ZR_Huanque_FRU to AC_03,Inflow from Runoff/Infiltration from ZR_Los Guindos_ANU to AC_03,Inflow from Runoff/Infiltration from ZR_Maravillal_FRU to AC_02,Inflow from Runoff/Infiltration from ZR_Molino de Zapallar_FRU to AC_01,Inflow from Runoff/Infiltration from ZR_Palquial_FRU to AC_02,Inflow from Runoff/Infiltration from ZR_Tebal_FRU to AC_03,Inflow from Runoff/Infiltration from ZR_Toma Ranque_FRU to AC_02,Inflow from Runoff/Infiltration from ZR_Valentino_FRU to AC_02,Natural Recharge,Outflow to Agua Potable_AC02,Outflow to Agua Potable_AC03,Outflow to Below CA_Alameda Diverted Inflow,Outflow to Below CA_Arboleda Grande Diverted Inflow,Outflow to Below CA_Batuco Chalinga Diverted Inflow,Outflow to Below CA_Chalinga Diverted Inflow,Outflow to Below CA_Chanar Chalinga Diverted Inflow,Outflow to Below CA_Chilcas Diverted Inflow,Outflow to Below CA_Cunlagua Diverted Inflow,Outflow to Below CA_Destiladera Diverted Inflow,Outflow to Below CA_Gabino Diverted Inflow,Outflow to Below CA_Huanque Diverted Inflow,Outflow to Below CA_Los Guindos Diverted Inflow,Outflow to Below CA_Maravillal Diverted Inflow,Outflow to Below CA_Molino de Zapallar Diverted Inflow,Outflow to Below CA_Palquial Diverted Inflow,Outflow to Below CA_Tebal Diverted Inflow,Outflow to Below CA_Toma Ranque Diverted Inflow,Outflow to Below CA_Valentino Diverted Inflow,Outflow to Below CL_09 Inflow,Outflow to Below ZR_Alameda Runoff,Outflow to Veg_Riparia AC_03,Outflow to Veg_Riparia AC01,Outflow to Veg_Riparia AC02,Overflow
dic-95,0,0,0,0,0,0,0.00381223,0.0480689,0.106358,0.0300361,0.00603014,0.0258435,0.0521177,0.0193153,0.010764,0.0399195,0.00603014,0.00842536,0.00822193,0.0619354,0.0462641,0.000429277,0.00485873,0.003491,0.00281428,0,0,0.00108411,0,0.00295444,0,0,0,0,0,0.00273148,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00849032,-0.00718065,-0.00849032,-0.447336
ene-96,0,0,0,0,0,0,0.00398238,0.0502143,0.111105,0.0313767,0.00629928,0.0269969,0.0544438,0.0201774,0.0112444,0.0417012,0.00629928,0.0088014,0.00858889,0.0646998,0.048329,0.000448436,0.00507558,0.00365613,0.0034041,0,0,0.00155746,0,0.00270252,0,0,0,0,0,0.00285339,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00799355,-0.00684194,-0.00799355,-0.47112
feb-96,0,0,0,0,0,0,0.0035476,0.044732,0.098975,0.0279511,0.00561155,0.0240495,0.0484998,0.0179745,0.0100167,0.0371484,0.00561155,0.00784049,0.00765118,0.057636,0.0430526,0.000399477,0.00452145,0.00326083,0.00341535,0,0,0.00200764,0,0.00153931,0,0,0,0,0,0.00238539,0,0,0,0,0,0,0,-0.00827634,-0.0131121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0078931,-0.00697586,-0.0078931,-0.413677
mar-96,0,0,0,0,0,0,0.00350539,0.0441998,0.0977974,0.0276185,0.00554478,0.0237633,0.0479227,0.0177606,0.00989757,0.0367064,0.00554478,0.0077472,0.00756015,0.0569503,0.0425403,0.000394724,0.00446765,0.0032129,0.00259409,0,0,0.00247361,0,0.00081663,0,0,0,0,0,0.00098598,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00681935,-0.00609677,-0.00681935,-0.410261
abr-96,0,0,0,0,0,0,0.00266675,0.0336253,0.0744,0.021011,0.00421823,0.0180781,0.0364575,0.0135115,0.00752964,0.0279247,0.00421823,0.00589373,0.00575143,0.0433253,0.0323628,0.000300289,0.00339879,0.00244844,0.00270064,0,0,0.00235095,0,0.000278111,0,0,0,0,0,0.000297654,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107333,-0.0084,-0.0107333,-0.292207
may-96,0,0,0,0,0,0,0.000290754,0.0460328,0.101853,0.0287639,0.000225633,0.0247488,0.0499101,0.0184972,0.010308,0.0382287,0.00577472,0.00806848,0.000624692,0.0424787,0.0443045,3.78473E-05,0.00465293,0.00333551,0.00234831,0,0,0.00212242,0,0.000223532,0,0,0,0,0,0.000380274,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103871,-0.00808387,-0.0103871,-0.384344
jun-96,0,0,0,0,0,0,0,0.0495958,0.109737,0.0309903,0,0.0266644,0.0537732,0.0199289,0.0111059,0.0411876,0.0062217,0.008693,0,0.0573857,0.0477337,0,0.00501307,0.003609,0.00247363,0,0,0.0017356,0,8.92374E-05,0,0,0,0,0,0.000150012,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01057,-0.00828333,-0.01057,-0.425989
jul-96,0,0,0,0,0,0,0.00350497,0.0441946,0.0977858,0.0276153,0.00554413,0.0237605,0.0479171,0.0177585,0.0098964,0.0367021,0.00554413,0.00774629,0.00755926,0.0569436,0.0425353,0.000394678,0.00446712,0.00321937,0.00227642,0,0,0.000534422,0,0.000382105,0,0,0,0,0,0.000477712,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100258,-0.00794839,-0.0100258,-0.398751
ago-96,0,0,0,0,0,0,0.00334391,0.0421637,0.0932923,0.0263463,0.00528936,0.0226687,0.0457152,0.0169425,0.00944163,0.0350156,0.00528936,0.00739033,0.00721189,0.0543269,0.0405807,0.000376541,0.00426185,0.00306782,0.00250006,0,0,0.000458076,0,2.47546E-05,0,0,0,0,0,0.000210736,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00977742,-0.00783548,-0.00977742,-0.378519
sept-96,0,0,0,0,0,0,0.00330089,0.0416213,0.0920921,0.0260074,0.00522131,0.022377,0.045127,0.0167245,0.00932017,0.0345651,0.00522131,0.00729525,0.00711911,0.053628,0.0400586,0.000371697,0.00420702,0.00302621,0.00262815,0,0,0.00069424,0,0.000787863,0,0,0,0,0,0.00182,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0098,-0.00800333,-0.0098,-0.374936
oct-96,0,0,0,0,0,0,0.00395967,0.0499279,0.110471,0.0311978,0.00626335,0.0268429,0.0541333,0.0200623,0.0111802,0.0414634,0.00626335,0.0087512,0.0085399,0.0643307,0.0480533,0.000445879,0.00504663,0.00362668,0.00250104,0,0,0.000641307,0,0.00141006,0,0,0,0,0,0.00283711,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0092129,-0.0075871,-0.0092129,-0.461928
nov-96,0,0,0,0,0,0,0.00376477,0.0474704,0.105034,0.0296622,0.00595506,0.0255217,0.0514688,0.0190748,0.0106299,0.0394225,0.00595506,0.00832045,0.00811956,0.0611643,0.0456881,0.000423932,0.00479823,0.00345915,0.00356505,0,0,0.000757353,0,0.00250728,0,0,0,0,0,0.00269747,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00921667,-0.00767667,-0.00921667,-0.438674
dic-96,0,0,0,0,0,0,0.00301229,0.0379823,0.0840403,0.0237335,0.0047648,0.0204206,0.0411815,0.0152623,0.00850528,0.031543,0.0047648,0.00665741,0.00649667,0.0489391,0.0365562,0.000339199,0.00383919,0.00276643,0.00332487,0,0,0.00108411,0,0.00295444,0,0,0,0,0,0.00215831,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00849032,-0.00718065,-0.00849032,-0.346157
ene-97,0,0,0,0,0,0,0.00345707,0.0435905,0.0964493,0.0272378,0.00546835,0.0234358,0.0472622,0.0175158,0.00976114,0.0362005,0.00546835,0.00764041,0.00745594,0.0561653,0.041954,0.000389283,0.00440607,0.0031644,0.00265733,0,0,0.00155746,0,0.00270252,0,0,0,0,0,0.002477,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00799355,-0.00684194,-0.00799355,-0.403579
feb-97,0,0,0,0,0,0,0.00341339,0.0430398,0.0952308,0.0268937,0.00539926,0.0231397,0.046665,0.0172945,0.00963781,0.0357431,0.00539926,0.00754388,0.00736174,0.0554557,0.0414239,0.000384365,0.0043504,0.0031307,0.00293943,0,0,0.00207934,0,0.00159428,0,0,0,0,0,0.00244571,0,0,0,0,0,0,0,-0.00857192,-0.0135804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008175,-0.007225,-0.008175,-0.394839
mar-97,0,0,0,0,0,0,0.0029396,0.0370658,0.0820125,0.0231608,0.00464983,0.0199278,0.0401878,0.014894,0.00830006,0.0307819,0.00464983,0.00649677,0.00633991,0.0477583,0.0356741,0.000331014,0.00374655,0.00269208,0.00245437,0,0,0.00241254,0,0.000786405,0,0,0,0,0,0.000921916,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00681935,-0.00609677,-0.00681935,-0.33844
abr-97,0,0,0,0,0,0,0.00234284,0.0295412,0.0653634,0.018459,0.00370588,0.0158824,0.0320294,0.0118704,0.00661509,0.0245329,0.00370588,0.00517788,0.00505287,0.038063,0.0284321,0.000263816,0.00298598,0.00214423,0.00225326,0,0,0.00263496,0,0.000465509,0,0,0,0,0,0.000694848,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107333,-0.0084,-0.0107333,-0.251675
may-97,0,0,0,0,0,0,0.00301477,0.0380135,0.0841094,0,0.00476872,0,0.0412154,0.0152748,0.00851228,0.0315689,0.00476872,0.00666289,0.00650201,0.0489794,0.0365863,0.000339478,0.00384235,0.00274938,0.00127803,0,0,0.00152692,0,0.000360672,0,0,0,0,0,0.000590817,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103871,-0.00808387,-0.0103871,-0.291798
jun-97,0,0,0,0,0,0,0.00714,0.1116,0.1992,0,0.014,0,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0227894,0.0184575,0,0,0.00947743,0,0.00304607,0,0,0,0,0,0.00449093,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01057,-0.00828333,-0.01057,-0.888612
jul-97,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.013312,0.0118435,0,0,0.000900884,0,1.01173E-05,0,0,0,0,0,0.000104314,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100258,-0.00794839,-0.0100258,-0.988345
ago-97,0,0,0,0,0,0,0.00714,0,0.1992,0.069734,0.014,0.06,0,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0323692,0.0314403,0,0,0.00891213,0,0.00177928,0,0,0,0,0,0.00250837,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00977742,-0.00783548,-0.00977742,-0.807193
sept-97,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0497441,0.0484552,0,0,0.000473346,0,0.000569232,0,0,0,0,0,0.0013566,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0098,-0.00800333,-0.0098,-1.0625
oct-97,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0486027,0.0471817,0,0,0.000173051,0,0.000820659,0,0,0,0,0,0.00181483,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0092129,-0.0075871,-0.0092129,-1.06275
nov-97,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0561252,0.0554833,0,0,0.000741575,0,0.00249167,0,0,0,0,0,0.00588066,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00921667,-0.00767667,-0.00921667,-1.08412
dic-97,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0711635,0.0703505,0,0,0.00108411,0,0.00295444,0,0,0,0,0,0.00634159,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00849032,-0.00718065,-0.00849032,-1.11791
ene-98,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0582039,0.0578485,0,0,0.00155746,0,0.00270252,0,0,0,0,0,0.00596717,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00799355,-0.00684194,-0.00799355,-1.09363
feb-98,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0344558,0.0338686,0,0,0.0019441,0,0.00151062,0,0,0,0,0,0.00229326,0,0,0,0,0,0,0,-0.00857192,-0.0135804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008175,-0.007225,-0.008175,-1.03853
mar-98,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0291042,0.027426,0,0,0.00247361,0,0.00081663,0,0,0,0,0,0.00098598,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00681935,-0.00609677,-0.00681935,-1.03125
abr-98,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0201307,0.0188225,0,0,0.00231939,0,0.000262494,0,0,0,0,0,0.000264555,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107333,-0.0084,-0.0107333,-1.00144
may-98,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0175838,0.0158632,0,0,0.00209188,0,0.000208419,0,0,0,0,0,0.000348242,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103871,-0.00808387,-0.0103871,-0.997412
jun-98,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0187855,0.0171776,0,0,0.00179871,0,3.01008E-05,0,0,0,0,0,6.31935E-05,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01057,-0.00828333,-0.01057,-0.997939
jul-98,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0150563,0.013388,0,0,0.00116046,0,0.000276455,0,0,0,0,0,0.000712918,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100258,-0.00794839,-0.0100258,-0.992769
ago-98,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.00871356,0.00742393,0,0,0.000900884,0,0.000432799,0,0,0,0,0,0.00107559,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00977742,-0.00783548,-0.00977742,-0.981331
sept-98,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0126019,0.0113277,0,0,0.000615349,0,0.00070978,0,0,0,0,0,0.0016545,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0098,-0.00800333,-0.0098,-0.988813
oct-98,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0172735,0.0160206,0,0,0.000671845,0,0.00142517,0,0,0,0,0,0.0030961,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0092129,-0.0075871,-0.0092129,-1.00265
nov-98,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0195476,0.0189017,0,0,0.000757353,0,0.00250728,0,0,0,0,0,0.00591376,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00921667,-0.00767667,-0.00921667,-1.01103
dic-98,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0139904,0.0133871,0,0,0.00108411,0,0.00295444,0,0,0,0,0,0.00634159,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00849032,-0.00718065,-0.00849032,-1.00377
ene-99,0,0,0,0,0,0,0.00714,0.0944453,0.1992,0.0590148,0.011848,0.0507771,0.1024,0.036176,0.02016,0.0784336,0.011848,0.01578,0.015399,0.116,0.0908994,0.000804,0.0091,0.00692612,0.00650084,0,0,0.00155746,0,0.00270252,0,0,0,0,0,0.00536678,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00799355,-0.00684194,-0.00799355,-0.899642
feb-99,0,0,0,0,0,0,0.0057984,0.0731126,0.16177,0.0456849,0.00917183,0.0393079,0.0792708,0.0293785,0.0163719,0.0607175,0.00917183,0.0128149,0.0125055,0.0942036,0.0703676,0.000652929,0.00739011,0.0053639,0.00611345,0,0,0.00207934,0,0.00159428,0,0,0,0,0,0.00247058,0,0,0,0,0,0,0,-0.00857192,-0.0135804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008175,-0.007225,-0.008175,-0.699586
mar-99,0,0,0,0,0,0,0.0063339,0.0798648,0.17671,0.0499041,0.0100189,0.0429381,0.0865918,0.0320918,0.0178839,0.066325,0.0100189,0.0139984,0.0136605,0.102904,0.0768663,0.000713229,0.00807262,0.00582699,0.00385554,0,0,0.00239727,0,0.000786405,0,0,0,0,0,0.000921916,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00681935,-0.00609677,-0.00681935,-0.76894
abr-99,0,0,0,0,0,0,0.00667903,0.0842166,0.186339,0.0526233,0.0105648,0.0452777,0.0913101,0.0338404,0.0188584,0.069939,0.0105648,0.0147612,0.0144048,0.108511,0.0810547,0.000752092,0.00851249,0.00615808,0.00458258,0,0,0.00252451,0,0.000387426,0,0,0,0,0,0.000529351,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107333,-0.0084,-0.0107333,-0.801849
may-99,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.012356,0.0100789,0,0,0.00200027,0,0.000117743,0,0,0,0,0,0.000156052,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103871,-0.00808387,-0.0103871,-0.986025
jun-99,0,0,0,0,0,0,0.00678955,0.0856102,0.189423,0.0534941,0.0107396,0.046027,0.0928211,0.0344004,0.0191705,0.0710964,0.0107396,0.0150055,0.0146432,0.110306,0.082396,0.000764538,0.00865335,0.00627051,0.00522608,0,0,0.00153048,0,0.000266647,0,0,0,0,0,0.000410467,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01057,-0.00828333,-0.01057,-0.815686
jul-99,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0133447,0.0112595,0,0,0.00112992,0,0.00024623,0,0,0,0,0,0.000648854,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100258,-0.00794839,-0.0100258,-0.988804
ago-99,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0119101,0.0105849,0,0,0.000951781,0,0.000534547,0,0,0,0,0,0.000680985,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00977742,-0.00783548,-0.00977742,-0.973447
sept-99,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.0114028,0.0100025,0,0,0.00116233,0,9.68262E-05,0,0,0,0,0,4.37211E-05,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0098,-0.00800333,-0.0098,-0.984612
oct-99,0,0,0,0,0,0,0.00714,0.100142,0.1992,0.0625745,0.0125626,0.0538399,0.108577,0.036176,0.02016,0.0831646,0.0125626,0.01578,0.015399,0.116,0.0963823,0.000804,0.0091,0.00735511,0.00618235,0,0,0.000473346,0,0.00125893,0,0,0,0,0,0.00274375,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0092129,-0.0075871,-0.0092129,-0.921557
nov-99,0,0,0,0,0,0,0.00714,0.1116,0.1992,0.069734,0.014,0.06,0.121,0.036176,0.02016,0.09268,0.014,0.01578,0.015399,0.116,0.10741,0.000804,0.0091,0.00858332,0.00795921,0,0,0.000757353,0,0.00249167,0,0,0,0,0,0.00588066,0,0,0,0,0,0,0,-0.00800046,-0.012675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00921667,-0.00767667,-0.00921667,-0.98907
dic-99,0,0,0,0,0,0,0.00714,0.0929144,0.1992,0.0580582,0.0116559,0.049954,0.10074,0.036176,0.02016,0.0771622,0.0116559,0.01578,0.015399,0.116,0.0894259,0.000804,0.0091,0.00680673,0.00616715,0,0,0.00108411,0,0.00295444,0,0,0,0,0,0.00527979,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00849032,-0.00718065,-0.00849032,-0.889448
ene-00,0,0,0,0,0,0,0.00399353,0.0503549,0.111416,0.0314646,0.00631692,0.0270725,0.0545962,0.0202339,0.0112759,0.041818,0.00631692,0.00882604,0.00861294,0.0648809,0.0484643,0.000449692,0.0050898,0.00371307,0.00664223,0,0,0.00155746,0,0.00270252,0,0,0,0,0,0.00286138,0,0,0,0,0,0,0,-0.00774238,-0.0122661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00799355,-0.00684194,-0.00799355,-0.475822
