Sources and Destinations,Decrease in Storage for Cuenta Corriente PMS,Decrease in Storage for Embalse Cogoti,Decrease in Storage for Embalse Paloma,Decrease in Storage for Embalse Recoleta,Increase in Storage for Cuenta Corriente PMS,Increase in Storage for Embalse Cogoti,Increase in Storage for Embalse Paloma,Increase in Storage for Embalse Recoleta,Inflow from Rio Grande,Inflow from Upstream,Net Evaporation and Local Reservoir Overflow,Outflow to Downstream,Outflow to DR Guatulame_B El Tome,Outflow to ENTREGA PALOMA,Outflow to ENTREGA_COGOTI,Outflow to Entregas Recoleta
Oct-03,,0.786601,3.58832,,0,,,0,0,11.8991,-1.32389,-2.47591,0,-11.0646,-0.7555,-0.654161
Nov-03,,1.21416,6.30007,,0,,,0,0.398408,9.07668,-1.63867,-1.44933,-0.398408,-11.0521,-1.28588,-1.16496
Dec-03,,2.07454,10.058,,0,,,0,0.385573,5.24648,-1.93683,-0.0876172,-0.385573,-11.1435,-2.17906,-2.03207
Jan-04,,2.5271,11.7372,0.679745,0,,,,0.385555,4.49871,-1.94396,-0.0758955,-0.385555,-12.3911,-2.59606,-2.4357
Feb-04,,2.86401,11.3258,1.51416,0,,,,0.412141,3.60341,-1.74661,-0.0779322,-0.412141,-11.8318,-2.91344,-2.73759
Mar-04,,2.30239,9.60393,1.17694,0,,,,0,3.7817,-1.3524,-0.0801621,0,-10.6836,-2.45227,-2.29652
Apr-04,,1.34282,1.61388,,0,,,-0.914772,0,7.47006,-0.702419,-0.291671,0,-5.85697,-1.35214,-1.30879
May-04,,1.39768,0.32562,,0,,,-1.08928,0,6.72532,-0.607598,-0.820553,0,-4.62453,-0.733796,-0.572853
Jun-04,,1.1169,,,0,,-0.661493,-0.864023,0,5.49693,-0.447411,-0.897719,0,-3.20819,-0.300441,-0.234546
Jul-04,,0.666443,,,0,,-1.78633,-0.46246,0,5.72982,-0.406254,-1.10323,0,-2.36679,-0.152297,-0.118894
Aug-04,,,,,0,-2.01515,-4.79658,0,0,10.8664,-0.592451,-1.69861,0,-1.46774,-0.166142,-0.129702
Sep-04,,,3.50805,,0,-0.986636,,0,0,8.24675,-0.920602,-1.34227,0,-8.14864,-0.200294,-0.156364
Oct-04,,0.451495,6.70306,0.490658,0,,,,0,5.33854,-1.32389,-1.06525,0,-9.23156,-0.650724,-0.712326
Nov-04,,0.831627,9.27802,0.674653,0,,,,0.398432,4.07292,-1.63867,-0.578337,-0.398432,-10.3656,-1.15884,-1.11581
Dec-04,,1.73385,12.8989,0.953377,0,,,,0.385584,2.75867,-1.67747,-0.0711748,-0.385584,-12.7924,-2.0214,-1.78237
Jan-05,,2.3437,12.4067,1.12989,0,,,,0.385585,1.96833,-1.68364,-0.0736289,-0.385585,-11.5726,-2.42291,-2.09582
Feb-05,,2.76471,13.0097,,0,,,-0.175496,0.426864,3.46554,-1.56674,-0.0770306,-0.426864,-12.1722,-2.82046,-2.42807
Mar-05,,2.21008,8.73315,0.600977,0,,,,0,2.8097,-1.20602,-0.0790621,0,-8.79663,-2.28446,-1.98773
Apr-05,,1.50855,6.10619,,0,,,-0.272324,0,3.09098,-0.82762,-0.363019,0,-6.92447,-1.30191,-1.01636
May-05,,0.54474,,,0,,-1.92816,-2.87171,0,9.15732,-0.526232,-0.884953,0,-2.30665,-0.733423,-0.450936
Jun-05,,,,,0,-0.830815,-5.11482,-0.551825,0,13.5455,-0.387496,-2.6216,0,-3.55399,-0.300289,-0.184628
Jul-05,,,,,0,-0.0896057,-3.88746,0,0,10.152,-0.351851,-2.94215,0,-2.63511,-0.15222,-0.0935906
Aug-05,,,,,0,-0.288386,-2.02921,0,0,12.6869,-0.513116,-5.54584,0,-4.04221,-0.166058,-0.102099
Sep-05,,,,,0,-2.36556,-8.56398,0,0,23.9531,-0.797323,-6.06303,0,-5.83989,-0.200193,-0.123086
Oct-05,,,,,0,-2.62832,-9.32133,0,0,27.0583,-1.1466,-3.89976,0,-8.59884,-0.725814,-0.737677
Nov-05,,,,,0,-5.83055,-21.7482,0,0.398408,44.2958,-1.41924,-2.54486,-0.398408,-10.4556,-1.23619,-1.06119
Dec-05,,,,,0,-1.66839,-10.9825,0,0.385585,28.3389,-1.67747,-0.904994,-0.385585,-9.42978,-2.0958,-1.57999
Jan-06,,1.88017,2.65124,,0,,,0,0.385585,11.7732,-1.94396,-0.263471,-0.385585,-9.77332,-2.4971,-1.82673
Feb-06,,2.69617,6.3887,0.388191,0,,,,0.426883,7.32509,-1.80899,-0.0758271,-0.426883,-9.90357,-2.90254,-2.10723
Mar-06,,2.17804,5.11498,,0,,,-0.270079,0,7.62836,-1.20602,-0.078948,0,-9.26596,-2.35872,-1.74165
Apr-06,,1.46555,1.73701,,0,,,-0.0832299,0,8.56562,-0.82762,-2.69928,0,-6.05674,-1.30125,-0.800057
May-06,,1.38487,,,0,,-1.32636,0,0,7.09459,-0.526232,-1.9212,0,-3.32934,-0.716708,-0.65962
Jun-06,,0.590278,,,0,,-4.48894,0,0,8.24985,-0.3875,-2.10213,0,-1.29804,-0.293444,-0.270071
Jul-06,,,,,0,-0.092555,-7.77825,0,0,13.5021,-0.351851,-3.93996,0,-1.05388,-0.14875,-0.136902
Aug-06,,0.20874,,,0,,-4.8772,0,0,10.9492,-0.592451,-4.27585,0,-1.10081,-0.162273,-0.149348
Sep-06,,0.724283,1.21248,,0,,,0,0,8.73869,-0.920602,-3.41429,0,-5.96489,-0.195629,-0.180047
Oct-06,,0.159994,0.865769,,0,,,0,0,11.6432,-1.32389,-2.5152,0,-7.42251,-0.63557,-0.771776
Nov-06,,1.12308,4.86727,,0,,,0,0.398438,8.70779,-1.63867,-1.45736,-0.398438,-9.23549,-1.13186,-1.23476
Dec-06,,1.74622,9.78196,0.0716566,0,,,,0.385585,4.4649,-1.93683,-0.0712569,-0.385585,-10.0784,-1.97432,-2.0039
Jan-07,,2.20116,12.6842,0.885601,0,,,,0.385557,2.62788,-1.68364,-0.074087,-0.385557,-11.9098,-2.36648,-2.36482
Feb-07,,2.51458,12.9257,1.53399,0,,,,0.426897,1.82746,-1.56674,-0.0770666,-0.426897,-11.661,-2.75478,-2.74221
Mar-07,,2.10436,9.09668,,0,,,-0.108744,0,3.51898,-1.20601,-0.079095,0,-8.85455,-2.23126,-2.24036
Apr-07,,1.52733,5.90846,,0,,,-0.909142,0,4.00842,-0.82762,-0.408115,0,-6.85744,-1.27159,-1.17031
May-07,,0.498515,1.9504,,0,,,-1.02889,0,4.77205,-0.526232,-0.00695722,0,-4.43872,-0.668974,-0.551191
Jun-07,,,,,0,-0.206163,-2.50621,-0.336195,0,7.81846,-0.3875,-0.872124,0,-3.01069,-0.273901,-0.225676
Jul-07,,,,,0,-0.451094,-1.21765,0,0,7.15208,-0.351851,-1.93308,0,-2.94516,-0.138844,-0.114398
Aug-07,,,,,0,-0.333807,-1.05602,0,0,6.83873,-0.513116,-1.68136,0,-2.97816,-0.151466,-0.124798
Sep-07,,,2.22176,,0,-0.467193,,0,0,7.01507,-0.797323,-0.446432,0,-7.19283,-0.182601,-0.150451
Oct-07,,0.300716,1.3656,0.220707,0,,,,0,10.2422,-1.1466,-0.00763223,0,-9.52986,-0.795818,-0.649362
Nov-07,,0.643848,3.95417,0.328618,0,,,,0.398408,9.20727,-1.41924,-0.00859643,-0.398408,-10.4039,-1.2658,-1.03639
Dec-07,,1.89389,9.1038,0.909938,0,,,,0.385585,4.06466,-1.67747,-0.00934728,-0.385585,-10.5611,-2.04541,-1.67895
Jan-08,,2.33764,13.0102,1.17463,0,,,,0.385585,1.72424,-1.68364,-0.0100864,-0.385585,-12.161,-2.41145,-1.98054
Feb-08,,2.63149,11.9622,0.685055,0,,,,0.412141,2.74485,-1.14771,-0.0105016,-0.412141,-11.949,-2.6992,-2.21718
Mar-08,,2.22971,8.12206,,0,,,-0.402158,0,4.74236,-0.915016,-0.0114329,0,-9.60375,-2.28523,-1.87654
Apr-08,,1.15549,5.62748,,0,,,-0.302698,0,3.67663,-0.627924,-0.0124775,0,-7.35167,-1.18691,-0.977931
May-08,,0.56505,0.84157,,0,,,-2.56906,0,6.85105,-0.399257,-0.718942,0,-3.57043,-0.537698,-0.462279
Jun-08,,,,,0,-0.468264,-5.6027,0,0,9.44507,-0.294,-1.24583,0,-1.42486,-0.220151,-0.189273
Jul-08,,,,,0,-0.703036,-4.91504,0,0,10.1699,-0.266953,-2.35741,0,-1.71989,-0.111597,-0.0959446
Aug-08,,,,,0,-3.0585,-10.5098,0,0,20.0486,-0.389307,-4.11115,0,-1.75337,-0.121742,-0.104667
Sep-08,,,,,0,-1.41991,-5.0119,0,0,17.0713,-0.604934,-3.24569,0,-6.51589,-0.146767,-0.126182
Oct-08,,,,,0,-3.38742,-10.1954,0,0,26.326,-0.869937,-1.58302,0,-8.30066,-1.20854,-0.781069
Nov-08,,,,,0,-5.59099,-15.0778,0,0.398408,35.8813,-1.41924,-1.01887,-0.398408,-10.0556,-1.60526,-1.11355
Dec-08,,0.64888,0.195456,,0,,,0,0.385567,16.5766,-1.67747,-0.382713,-0.385567,-11.5033,-2.21292,-1.64457
Jan-09,,2.11948,9.33737,0.621878,0,,,,0.385585,5.94426,-1.68364,-0.0156091,-0.385585,-11.9191,-2.50713,-1.89752
Feb-09,,2.74578,12.0633,1.33353,0,,,,0.426864,3.11593,-1.56674,-0.0157489,-0.426864,-12.6115,-2.87684,-2.18773
Mar-09,,2.30474,7.68447,,0,,,-0.473854,0,5.07485,-1.20602,-0.0163397,0,-9.15188,-2.40568,-1.81029
Apr-09,,0.864759,5.75165,0.173218,0,,,,0,3.43331,-0.627924,-0.0171498,0,-7.80369,-0.953989,-0.820182
May-09,,0.578004,1.14453,,0,,,-1.52013,0,6.75922,-0.399257,-0.829163,0,-4.46813,-0.683009,-0.582069
Jun-09,,,,,0,-0.106083,-1.00844,0,0,6.39697,-0.294,-1.10233,0,-3.36815,-0.279647,-0.238319
Jul-09,,,,,0,-0.548835,-3.35865,0,0,7.55039,-0.266953,-0.863404,0,-2.24999,-0.141757,-0.120807
Aug-09,,,,,0,-1.14284,-4.44689,0,0,8.81116,-0.389303,-0.518271,0,-2.02742,-0.154643,-0.131789
Sep-09,,,,,0,-1.05449,-0.509581,0,0,7.21912,-0.604934,-0.162432,0,-4.54237,-0.186431,-0.158879
Oct-09,,,0.889295,0.484059,0,-0.539757,,,0,11.3661,-0.869937,-0.0175893,0,-9.70819,-0.902994,-0.701018
Nov-09,,,7.74186,0.48243,0,-0.229866,,,0.398408,7.32936,-1.07679,-0.0177516,-0.398408,-11.7332,-1.38586,-1.11023
Dec-09,,1.74809,10.9306,1.34684,0,,,,0.385575,2.5708,-1.27271,-0.0185768,-0.385575,-11.338,-2.1788,-1.78828
Jan-10,,2.44156,12.5428,2.68774,0,,,,0.385585,1.57189,-1.27739,-0.0193944,-0.385585,-12.2615,-2.55252,-3.13319
Feb-10,,2.85772,12.6355,0.896844,0,,,,0.426897,3.7149,-1.1887,-0.0202067,-0.426897,-12.31,-2.95442,-3.63163
Mar-10,,2.37562,8.83028,,0,,,-0.295791,0,4.74497,-0.756287,-0.0210706,0,-9.48421,-2.42366,-2.96986
Apr-10,,1.18636,4.9367,0.947863,0,,,,0,2.58071,-0.518997,-0.0209615,0,-6.36401,-1.2118,-1.53585
May-10,,0.208281,,0.0130106,0,,-0.574893,,0,4.25166,-0.33,-0.0746586,0,-2.43669,-0.385592,-0.671116
Jun-10,,,,,0,-1.16898,-4.29004,-1.83422,0,8.93399,-0.243,-0.322744,0,-0.64235,-0.157875,-0.274777
Jul-10,,,,,0,-0.966918,-3.39567,-0.567342,0,7.12389,-0.220645,-0.1,0,-1.65399,-0.0800287,-0.139288
Aug-10,,,,,0,-0.270468,-0.0263931,-0.570764,0,4.74744,-0.321774,-0.1,0,-3.21878,-0.087304,-0.151951
Sep-10,,,1.25055,,0,-0.233009,,-0.0367718,0,3.89308,-0.499996,-0.1,0,-3.98542,-0.10525,-0.183185
Oct-10,,,2.81788,0.596594,0,-0.0894121,,,0,4.32387,-0.71903,-0.0902793,0,-5.43419,-0.586626,-0.818805
Nov-10,,0.222048,5.08306,0.560367,0,,,,0.215471,3.484,-0.889996,-0.0218211,-0.215471,-6.28489,-0.86179,-1.29098
Dec-10,,1.15505,6.9081,1.20957,0,,,,0.208548,2.02941,-1.05193,-0.0218124,-0.208548,-6.84911,-1.30688,-2.0724
Jan-11,,1.46671,6.99427,1.90078,0,,,,0.208548,1.45416,-0.859528,-0.0225537,-0.208548,-6.97636,-1.51787,-2.43961
Feb-11,,1.68908,6.55835,2.40812,0,,,,0.230884,2.05243,-0.799851,-0.0232905,-0.230884,-7.30467,-1.75299,-2.82717
Mar-11,,1.39975,5.17891,0.577792,0,,,,0,3.00879,-0.615692,-0.0241053,0,-5.76733,-1.44512,-2.31299
Apr-11,,0.660261,3.45268,,0,,,-0.395084,0,3.0925,-0.422515,-0.0245827,0,-4.48843,-0.684124,-1.1907
May-11,,0.324217,1.04409,,0,,,-0.524177,0,2.77713,-0.268653,-0.1,0,-2.48654,-0.254304,-0.511762
Jun-11,,,,,0,-5.02428,-3.61669,-2.135,0,12.0348,-0.197826,-0.530924,0,-0.216389,-0.10412,-0.209533
Jul-11,,,,,0,-1.42288,-4.1751,-2.3645,0,9.14835,-0.179627,-0.704356,0,-0.142887,-0.05278,-0.106215
Aug-11,,,,,0,-1.04905,-3.22574,-0.869923,0,7.27443,-0.261956,-0.36745,0,-1.32686,-0.057578,-0.11587
Sep-11,,,,,0,-1.66186,-1.13187,-0.190836,0,7.45606,-0.407049,-0.1,0,-3.75534,-0.0694136,-0.139688
Oct-11,,,,0.389065,0,-2.25255,-2.2387,,0,11.5241,-0.585361,-0.02405,0,-5.13791,-0.736036,-0.938538
Nov-11,,,3.81396,0.696428,0,-0.998995,,,0.160467,7.06734,-0.724545,-0.0246831,-0.160467,-7.59129,-0.929147,-1.30907
Dec-11,,0.879772,7.38835,1.2558,0,,,,0.155291,3.45104,-0.856377,-0.0245006,-0.155291,-8.98856,-1.21106,-1.89447
Jan-12,,1.20573,8.46245,1.43141,0,,,,0.155291,2.51781,-0.859528,-0.025198,-0.155291,-9.20798,-1.35021,-2.17449
Feb-12,,1.33307,8.47018,1.3854,0,,,,0.166001,2.38715,-0.77227,-0.0258915,-0.166001,-8.8708,-1.48948,-2.41735
Mar-12,,1.2465,6.50785,1.02822,0,,,,0,2.34735,-0.380391,-0.026714,0,-7.34267,-1.30222,-2.07793
Apr-12,,0.409476,2.59013,0.0714055,0,,,,0,2.45501,-0.261042,-0.0272209,0,-3.87859,-0.451188,-0.907976
May-12,,0.236672,0.393683,,0,,,-0.722675,0,3.41144,-0.16598,-0.1,0,-2.27908,-0.270146,-0.503912
Jun-12,,,0.236324,,0,-0.00144601,,-0.728388,0,3.43951,-0.122222,-0.1,0,-2.40685,-0.110607,-0.206319
Jul-12,,0.0365986,0.223774,,0,,,-0.638638,0,2.90415,-0.110978,-0.1,0,-2.15426,-0.0560682,-0.104585
Aug-12,,,,,0,-0.0675015,-1.43998,-0.584649,0,3.64349,-0.161843,-0.268537,0,-0.945721,-0.0611652,-0.114093
Sep-12,,,,,0,-0.294939,-0.137257,-0.577905,0,3.54949,-0.251486,-0.1,0,-1.97662,-0.073738,-0.137546
Oct-12,,0.26171,2.12933,,0,,,-0.495356,0,3.01847,-0.361653,-0.0984398,0,-3.52202,-0.371999,-0.560043
Nov-12,,0.525843,4.18649,,0,,,-0.369769,0.0889206,2.66539,-0.447643,-0.0999589,-0.0889206,-4.98412,-0.563476,-0.91275
Dec-12,,0.79245,4.98454,0.669864,0,,,,0.0860522,1.88762,-0.529092,-0.027453,-0.0860522,-5.4,-0.876613,-1.50131
Jan-13,,0.972847,6.15795,1.33183,0,,,,0.0860352,1.69135,-0.531041,-0.0281062,-0.0860352,-6.79336,-1.02443,-1.77704
Feb-13,,1.1365,4.67583,,0,,,-0.809975,0.0952721,4.01477,-0.3275,-0.0287556,-0.0952721,-5.41372,-1.18498,-2.06217
Mar-13,,0.93502,3.0203,0.56256,0,,,,0,2.34175,-0.252097,-0.0294687,0,-3.92265,-0.973458,-1.68196
Apr-13,,0.519965,1.54763,0.0721533,0,,,,0,1.95317,-0.102519,-0.0925743,0,-2.52448,-0.479298,-0.894048
May-13,,0.039705,,,0,,-0.892122,-0.501433,0,3.18101,-0.0651852,-0.904139,0,-0.331559,-0.161757,-0.364524
Jun-13,,,,,0,-0.294829,-2.88314,-1.09136,0,5.2307,-0.048,-0.6611,0,-0.0367901,-0.0662292,-0.149249
Jul-13,,,,,0,-0.0563037,-1.76578,-0.621376,0,3.51567,-0.0735484,-0.813658,0,-0.0757733,-0.0335723,-0.075656
Aug-13,,,,,0,-0.0774386,-0.903547,-0.419202,0,3.16508,-0.107258,-1.04331,0,-0.495164,-0.0366243,-0.0825339
Sep-13,,,,,0,-0.257153,-1.1129,-0.579097,0,4.22083,-0.166667,-1.16996,0,-0.791406,-0.0441528,-0.099499
Oct-13,,0.154852,,,0,,-0.462168,-0.459237,0,4.03218,-0.239677,-0.46419,0,-1.74544,-0.328831,-0.487488
Nov-13,,0.330264,0.0924991,,-0.0343364,,,-0.142314,0.0426952,4.16822,-0.296666,-0.601953,-0.00835875,-2.35765,-0.447022,-0.745379
Dec-13,0.0190412,0.596682,2.02897,0.403851,,,,,0.0411976,2.31229,-0.350645,-0.0485329,-0.0602388,-3.14324,-0.630981,-1.16839
Jan-14,0.0141876,0.678452,2.34617,0.923951,,,,,0.0412127,1.77184,-0.351935,-0.0301035,-0.0554003,-3.25104,-0.719489,-1.36785
Feb-14,,0.787334,2.39797,1.21904,0,,,,0.0457448,1.44782,-0.3275,-0.0305631,-0.0457448,-3.08418,-0.826988,-1.58294
Mar-14,,0.657168,1.22276,,0,,,-1.02379,0,3.43907,-0.149391,-0.481174,0,-1.6766,-0.688971,-1.29907
Apr-14,,0.337461,0.562837,0.198361,0,,,,0,1.53002,-0.102519,-0.115276,0,-1.47715,-0.286992,-0.646745
May-14,,,0.175841,,0,-0.0357637,,-0.190223,0,1.58611,-0.0651852,-0.275325,0,-0.895593,0,-0.299864
Jun-14,,,,,0,-0.426844,-1.53319,-1.32985,0,4.07421,-0.048,-0.280337,0,-0.333224,0,-0.122774
Jul-14,,,,,0,-0.012546,-1.17846,-0.28496,0,2.25717,-0.0435839,-0.19359,0,-0.481789,0,-0.062236
Aug-14,,,,0.00270083,0,-0.0358307,-0.219836,,0,1.66632,-0.0635603,-0.63887,0,-0.643026,0,-0.0678935
Sep-14,,,,0.0046416,0,-0.0410742,-0.0110552,,0,1.65144,-0.0987654,-0.666369,0,-0.756972,0,-0.0818499
Oct-14,,0.548243,0.872362,0.29262,0,,,,0,1.24966,-0.142031,-0.844661,0,-0.997273,-0.616084,-0.362835
Nov-14,,0.562622,1.52199,0.358342,-0.0252701,,,,0.0252701,1.14579,-0.175802,-0.886603,0,-1.31601,-0.63662,-0.573707
Dec-14,,0.539188,1.87239,0.450176,-0.0244549,,,,0.0244549,1.43429,-0.20779,-1.15747,0,-1.39174,-0.616084,-0.922959
Jan-15,,0.360407,1.45936,0.445876,-4.36062E-05,,,,4.36062E-05,1.43657,-0.208554,-0.712235,0,-1.25155,-0.442841,-1.08704
Feb-15,0.0541984,0.0827792,,0.620093,,,0,,0.000137121,1.48652,-0.194074,0,-0.0543355,-0.576496,-0.158947,-1.25988
Mar-15,,,,0.442968,0,-0.0608504,0,,0,2.60892,-0.149391,-0.383817,0,-0.921444,-0.505928,-1.03046
Apr-15,,,,,0,-0.243994,-0.000204669,-1.03271,0,2.86643,-0.102519,-0.235582,0,-0.719388,0,-0.532023
May-15,,,,,0,-0.184657,-0.023416,-3.70995,0,5.17368,-0.0651848,-0.46176,0,-0.5,0,-0.228705
Jun-15,,,,,0,-0.222882,-0.615661,-2.05649,0,3.93768,-0.048,-0.396922,0,-0.504078,0,-0.0936397
Jul-15,,,,,0,-2.52288,-1.10319,0,0,6.52194,-0.0435839,-2.27356,0,-0.531253,0,-0.0474671
Aug-15,,,,,0,-9.646,-7.07797,0,0,20.1238,-0.0635603,-3.08443,0,-0.200056,0,-0.0517824
Sep-15,,,,,0,-3.41071,-12.2718,0,0,20.4072,-0.166666,-3.85431,0,-0.64122,0,-0.0624263
Oct-15,,,,,0,-5.22518,-13.6516,0,0,24.1933,-0.361653,-2.37893,0,-1.03281,-0.911107,-0.632016
Nov-15,,,,,-0.0777392,-4.59178,-19.86,0,0.0777392,31.4407,-0.447643,-1.14357,0,-3.65156,-0.941478,-0.80469
Dec-15,0.0752315,,,,,-3.76464,-12.2609,0,0.0752853,24.2231,-0.856377,-0.774248,-0.150517,-4.5966,-0.911107,-1.05922
Jan-16,,0.790762,,,-0.0752315,,-0.705687,0,0.0752315,8.42531,-0.859528,-0.651586,0,-4.90381,-0.911107,-1.18436
Feb-16,,0.854409,2.39954,,-0.0243455,,,0,0.0804774,6.10917,-0.77227,-1.02448,-0.0561319,-5.28487,-0.973942,-1.30756
Mar-16,0.0496565,0.803557,1.63072,,,,,0,0,8.3927,-0.615692,-3.85244,-0.0496565,-4.30653,-0.911107,-1.14121
Apr-16,0.0306713,,,,,-0.0784938,-2.06693,0,0,7.38227,-0.422515,-1.69339,-0.0306713,-2.71517,0,-0.405772
May-16,0.0186679,0.41944,,5.227,,,-3.8862,,0,7.27299,-0.268653,-6.40132,-0.0186679,-1.3341,-0.470139,-0.559019
Jun-16,,,,,0,-2.68653,-12.3413,0,0,20.5641,-0.197826,-4.13462,0,-0.782461,-0.192491,-0.228881
Jul-16,,,,,0,-3.35165,-9.24014,0,0,20.2091,-0.220645,-6.45282,0,-0.73029,-0.0975762,-0.116023
