Yr,Mon,RIO LARQUI C
1981,6,20.42525027808676
1981,7,27.92280311457175
1981,8,38.61067853170189
1981,9,63.577419354838725
1981,10,96.45294771968852
1981,11,123.51201334816463
1981,12,159.06674082313683
1982,1,172.07308120133484
1982,2,123.83870967741942
1982,3,102.50211345939931
1982,4,58.59121245828699
1982,5,33.22814238042269
1982,6,20.33715239154617
1982,7,26.588987764182423
1982,8,40.07041156840936
1982,9,58.56028921023358
1982,10,88.62447163515016
1982,11,116.36629588431593
1982,12,164.4853170189099
1983,1,157.56040044493886
1983,2,133.3539488320356
1983,3,100.88186874304785
1983,4,59.395773081201334
1983,5,28.467630700778642
1983,6,16.64249165739711
1983,7,22.358731924360406
1983,8,40.51757508342604
1983,9,59.073637374860965
1983,10,99.14215795328143
1983,11,135.47608453837594
1983,12,163.40077864293661
1984,1,170.44404894327033
1984,2,126.8106785317019
1984,3,98.37830923248056
1984,4,58.20044493882092
1984,5,30.188876529477206
1984,6,15.512903225806452
1984,7,24.45105672969967
1984,8,35.3384872080089
1984,9,58.99766407119022
1984,10,81.37741935483871
1984,11,111.69644048943269
1984,12,148.1652947719689
1985,1,160.0709677419355
1985,2,130.2988876529477
1985,3,103.72235817575084
1985,4,55.52714126807565
1985,5,31.030812013348168
1985,6,25.59855394883204
1985,7,24.635038932146838
1985,8,36.715684093437154
1985,9,63.057953281423806
1985,10,87.0284760845384
1985,11,125.85250278086762
1985,12,160.69321468298108
1986,1,169.33325917686318
1986,2,126.23882091212461
1986,3,101.31423804226921
1986,4,53.90200222469411
1986,5,34.25283648498333
1986,6,21.06095661846496
1986,7,23.96840934371524
1986,8,37.906674082313685
1986,9,60.429699666295896
1986,10,94.10533926585094
1986,11,115.62836484983316
1986,12,156.13826473859842
1987,1,175.8892102335929
1987,2,134.7689655172414
1987,3,107.31590656284764
1987,4,58.16740823136819
1987,5,29.6793103448276
1987,6,19.020244716351506
1987,7,28.959955506117907
1987,8,36.22558398220245
1987,9,59.087875417130135
1987,10,89.94215795328145
1987,11,126.66062291434929
1987,12,153.4272525027809
1988,1,165.5987764182425
1988,2,131.40155728587322
1988,3,96.25773081201336
1988,4,59.04327030033369
1988,5,28.176751946607347
1988,6,22.23715239154616
1988,7,24.576418242491656
1988,8,35.88665183537264
1988,9,57.64149054505005
1988,10,94.71290322580647
1988,11,132.9681868743048
1988,12,155.7528364849833
1989,1,170.40066740823136
1989,2,133.17352614015576
1989,3,101.85517241379313
1989,4,61.63136818687431
1989,5,27.91223581757508
1989,6,21.081979977753065
1989,7,27.373303670745273
1989,8,36.52246941045606
1989,9,63.91045606229145
1989,10,99.42591768631813
1989,11,128.7367074527253
1989,12,149.28142380422693
1990,1,174.22780867630703
1990,2,118.89243604004449
1990,3,101.72936596218021
1990,4,56.35150166852057
1990,5,29.550500556173525
1990,6,19.48954393770857
1990,7,22.962402669632926
1990,8,40.98231368186875
1990,9,59.381868743047825
1990,10,93.42569521690768
1990,11,124.77630700778641
1990,12,150.94349276974418
1991,1,165.93259176863182
1991,2,132.37274749721914
1991,3,102.12246941045605
1991,4,55.16551724137932
1991,5,33.06195773081202
1991,6,19.458509454949947
1991,7,23.494660734149054
1991,8,38.53403781979978
1991,9,59.782758620689656
1991,10,93.93448275862067
1991,11,118.5862068965517
1991,12,129.30611790878757
1992,1,168.6446051167965
1992,2,126.38164627363736
1992,3,103.60300333704116
1992,4,53.62769744160178
1992,5,32.34149054505005
1992,6,18.63159065628476
1992,7,21.39599555061179
1992,8,36.334482758620695
1992,9,62.783537263626265
1992,10,93.39521690767516
1992,11,121.37697441601782
1992,12,142.35917686318132
1993,1,166.89877641824253
1993,2,138.47330367074528
1993,3,104.09354838709679
1993,4,60.79098998887653
1993,5,32.290878754171295
1993,6,24.203781979977762
1993,7,23.32680756395996
1993,8,42.02725250278087
1993,9,62.8170189098999
1993,10,92.68342602892102
1993,11,123.33904338153505
1993,12,157.02614015572863
1994,1,171.31479421579533
1994,2,122.64961067853172
1994,3,104.86885428253616
1994,4,58.584427141268065
1994,5,30.77597330367075
1994,6,23.088876529477204
1994,7,24.710011123470526
1994,8,37.12413793103448
1994,9,60.26451612903227
1994,10,86.13381535038933
1994,11,118.90344827586208
1994,12,149.49098998887652
1995,1,163.0345939933259
1995,2,124.94972191323694
