Sources and Destinations,Evaporation,Inflow from AC_01,Inflow from AC_02,Inflow from AC_03,Inflow from AC_04,Inflow from AC_05,Inflow from AC_06,Inflow from AC_07,Inflow from AC_08,Inflow from AC_09,Inflow from AC_10,Inflow from AC_11,Inflow from AC_12,Inflow from AC_13,Inflow from AC_14,Inflow from AC_15,Inflow from AC_16,Inflow from AC_17,Inflow from Upstream,Outflow to AC_01,Outflow to AC_02,Outflow to AC_03,Outflow to AC_04,Outflow to AC_05,Outflow to AC_06,Outflow to AC_07,Outflow to AC_08,Outflow to AC_09,Outflow to AC_10,Outflow to AC_11,Outflow to AC_12,Outflow to AC_13,Outflow to AC_14,Outflow to AC_15,Outflow to AC_16,Outflow to AC_17,Outflow to Downstream,Surface Water Inflow
oct-93,-17.2848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1354.21,-0.180626,-0.468708,-0.405723,-0.206907,-1.74442,-0.0170953,-0.1335,-0.296148,-0.562394,-0.168024,-0.269492,-0.5992,-1.0291,-0.923177,-0.436577,-0.20132,-0.956874,-1356.49,28.1555
nov-93,-20.5061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1938.26,-0.228969,-0.468026,-0.453339,-0.261086,-1.79816,-0.0169145,-0.1335,-0.349202,-0.615354,-0.220798,-0.269492,-0.5992,-1.03047,-0.974937,-0.488665,-0.253307,-1.00825,-1941.99,33.4083
dic-93,-12.5446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1219.04,-0.173291,-0.464831,-0.394743,-0.201616,-1.73653,-0.0160672,-0.1335,-0.287394,-0.554377,-0.158562,-0.269492,-0.5992,-1.03099,-0.908441,-0.423277,-0.181158,-0.936401,-1223.43,25.4141
ene-94,-6.36842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518.075,-0.116888,-0.461854,-0.335113,-0.139929,-1.67361,-0.015278,-0.1335,-0.224323,-0.491884,-0.0955128,-0.269492,-0.5992,-1.03067,-0.844135,-0.359575,-0.117183,-0.872945,-522.39,18.4636
feb-94,-3.08444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.633,-0.0978825,-0.420861,-0.273388,-0.0776517,-1.6426,-0.00999452,-0.0674786,-0.206261,-0.476144,-0.0787235,-0.269492,-0.54101,-1.02931,-0.829974,-0.335014,-0.0831205,-0.839197,-281.059,13.7885
mar-94,-2.77331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.118,-0.0899269,-0.263193,-0.146579,-0.0588064,-1.46574,-0.00730979,-0.0290754,-0.0820767,-0.47974,-0.0548279,-0.262928,-0.523753,-1.02849,-0.750192,-0.334254,-0.0806649,-0.83705,-252.469,11.6194
abr-94,-3.29777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.159,-0.0485327,-0.131128,-0.101704,-0.0441038,-1.30456,-0.004297,-0.0162719,-0.0590287,-0.481947,-0.0472968,-0.262716,-0.512614,-1.02808,-0.831427,-0.335153,-0.0793792,-0.836194,-248.538,10.8015
may-94,-4.36565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.545,-0.0339559,-0.0226951,-0.0507608,-0.0269272,-1.24122,-0.00278157,-0.0036507,-0.0333053,-0.480382,-0.0374568,-0.262482,-0.499684,-0.959849,-0.760448,-0.346155,-0.0818516,-0.840769,-241.011,10.5166
jun-94,-6.32144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.611,-0.0314046,-0.00802392,-0.0407235,-0.0230251,-1.22004,-0.00214195,0,-0.0284918,-0.480729,-0.0365228,-0.262417,-0.495459,-1.00757,-0.774606,-0.347516,-0.0936812,-0.856832,-278.624,12.0442
jul-94,-7.4734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326.223,-0.032435,-0.00701376,-0.040078,-0.0238066,-1.21798,-0.00194225,0,-0.0301209,-0.48263,-0.0378656,-0.262417,-0.497437,-1.03068,-0.786708,-0.352387,-0.105601,-0.867553,-325.974,13.0011
ago-94,-5.98126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335.422,-0.0395647,-0.00705457,-0.202904,-0.0478228,-0.560479,-0.00282782,-0.00860425,-0.175005,-0.48534,-0.0772754,-0.262638,-0.504148,-1.05523,-0.835387,-0.348858,-0.0946304,-0.851468,-335.979,12.098
sept-94,-5.62796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.113,-0.108936,-0.307777,-0.207566,-0.0520784,-1.64285,-0.00375747,-0.0179053,-0.058837,-0.487808,-0.0496847,-0.262858,-0.513595,-1.02834,-0.834437,-0.348345,-0.0896781,-0.848833,-339.429,13.8074
oct-94,-7.16795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493.107,-0.135071,-0.455171,-0.344663,-0.146009,-1.68152,-0.0135055,-0.1335,-0.230316,-0.497214,-0.0929375,-0.269492,-0.5992,-1.02908,-0.842926,-0.357128,-0.0979494,-0.854503,-495.368,17.2099
nov-94,-10.4187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032.21,-0.172879,-0.454998,-0.38446,-0.189121,-1.72648,-0.0134598,-0.1335,-0.27482,-0.541716,-0.146618,-0.269492,-0.5992,-1.03047,-0.893973,-0.408511,-0.150385,-0.906353,-1035.95,22.4474
dic-94,-2.69067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.817,-0.109452,-0.429386,-0.321539,-0.126704,-1.65154,-0.00964722,-0.1335,-0.211301,-0.479044,-0.082542,-0.269492,-0.569475,-1.03099,-0.829819,-0.34442,-0.0842106,-0.840423,-320.217,14.6136
ene-95,-4.33755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.211,-0.108626,-0.455485,-0.333628,-0.13776,-1.67963,-0.0136163,-0.1335,-0.229574,-0.497492,-0.0990961,-0.269492,-0.5992,-1.11192,-0.845263,-0.360899,-0.0946667,-0.852358,-465.672,16.6208
feb-95,-1.64686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.028,-0.0795213,-0.252012,-0.186858,-0.0665727,-1.41566,-0.00850987,-0.046996,-0.101689,-0.472703,-0.0622881,-0.263369,-0.54101,-0.90291,-0.684804,-0.335014,-0.0808505,-0.83695,-223.454,11.4102
mar-95,-0.841205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.799,-0.0513906,-0.167717,-0.131945,-0.0446767,-1.22954,-0.00608911,-0.0290754,-0.065273,-0.450404,-0.033145,-0.074516,-0.331585,-0.455539,-0.369253,-0.271754,-0.0752373,-0.831677,-145.15,7.81122
abr-95,-1.5937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.539,-0.0349922,-0.0790454,-0.0797996,-0.0270962,-1.27981,-0.0027454,-0.0145926,-0.037572,-0.463916,-0.0256697,-0.262683,-0.510646,-0.301012,-0.227039,-0.124433,-0.0722414,-0.832965,-133.819,7.24971
may-95,-1.6571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.734,-0.033231,-0.0337163,-0.0526931,-0.0214804,-1.24576,-0.00202952,-0.00690094,-0.0285844,-0.469492,-0.0282096,-0.262568,-0.503375,-0.478835,-0.35394,-0.0429193,-0.0620318,-0.749395,-148.383,6.68126
jun-95,-3.02695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.258,-0.0271691,-0.00426311,-0.031896,-0.0154213,-1.20885,-0.00123197,0,-0.0203027,-0.472819,-0.0286799,-0.262417,-0.4952,-0.698024,-0.462314,-0.270148,-0.070836,-0.831711,-165.2,7.87017
jul-95,-4.97338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.045,-0.0271691,-0.00254563,-0.0303556,-0.0134989,-1.20758,-0.000723253,0,-0.0184804,-0.470946,-0.0260585,-0.262417,-0.496905,-0.593135,-0.493069,-0.345976,-0.0810657,-0.848053,-194.9,9.74587
ago-95,-3.97576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.923,-0.0284441,-0.00178696,-0.0343028,-0.0119132,-1.22352,-0.000920796,-0.00332262,-0.0169391,-0.467166,-0.0234324,-0.262508,-0.498553,-0.495891,-0.361624,-0.333593,-0.0834722,-0.84412,-174.272,9.01649
