Nodes and Reaches,Aguas Claras de Chillepin   0 \ Headflow,Aguas Claras de Salamanca   0 \ Headflow,AN_03   0 \ Headflow,AN_04   0 \ Headflow,AN_05   0 \ Headflow,AN_07   0 \ Headflow,AN_10   0 \ Headflow,Araya   0 \ Headflow,Barraco Chico   0 \ Headflow,Barraco Grande   0 \ Headflow,Batuco   0 \ Headflow,Breas   0 \ Headflow,Buzeta   0 \ Headflow,Camisas o Batito   0 \ Headflow,Canal Alimentador   0 \ Headflow,Carachas   0 \ Headflow,CL_02   0 \ Headflow,CL_03   0 \ Headflow,CL_04   0 \ Headflow,CL_050   0 \ Headflow,CL_051   0 \ Headflow,CL_052   0 \ Headflow,CL_06   0 \ Headflow,CL_07   0 \ Headflow,CL_08   0 \ Headflow,CL_12   0 \ Headflow,CL_13   0 \ Headflow,CL_14   0 \ Headflow,CL_15   0 \ Headflow,CL_23   0 \ Headflow,CL_24   0 \ Headflow,CL_25   0 \ Headflow,Cuyuntagua Norte   0 \ Headflow,Cuyuntagua Sur   0 \ Headflow,Dona Juana   0 \ Headflow,El Boldo   0 \ Headflow,El Jote   0 \ Headflow,El Pardo   0 \ Headflow,El Pavo   0 \ Headflow,El Quene   0 \ Headflow,El Sauco   0 \ Headflow,EST. CAMISAS   0 \ Headflow,EST. CAMISAS   1 \ AN_07 Inflow,EST. QUELEN   0 \ Headflow,Higueral   0 \ Headflow,Las Viudas   0 \ Headflow,Los Loros   0 \ Headflow,Los Rulos   0 \ Headflow,Matriz de Mincha   0 \ Headflow,Millahue Dos o Los Patos   0 \ Headflow,Millahue Uno   0 \ Headflow,Mincha Sur Arriba   0 \ Headflow,Molino de Choapa   0 \ Headflow,Molino de Los Ranchos   0 \ Headflow,Molino de Peralillo   0 \ Headflow,Molino de Quelen   0 \ Headflow,Molino de Tranquilla   0 \ Headflow,Pangue o Inquilino   0 \ Headflow,Panguesillo Dos   0 \ Headflow,Panguesillo Uno   0 \ Headflow,Pintacura Alto   0 \ Headflow,Pintacura Bajo   0 \ Headflow,Poblacion   0 \ Headflow,RIO CHALINGA   0 \ Headflow,RIO CHOAPA   0 \ Headflow,RIO CUNCUMEN   0 \ Headflow,RIO ILLAPEL   0 \ Headflow,RIO TENCADAN   0 \ Headflow,Rodadero   0 \ Headflow,Salinero   0 \ Headflow,San Antonio   0 \ Headflow,San Francisco   0 \ Headflow,San Pedro   0 \ Headflow,Silvano   0 \ Headflow,Tahuincano   0 \ Headflow
feb-90,0.0326156,0.00241075,0.16688,0.534053,0.18588,0,0,0.165186,0.0116162,0.209576,0.0559786,0.585,1.9725,0,0,0.174208,0.170904,0,0,0.220104,0,0,0,0,0,0,0,0,0,0,0,0,0.00329905,0.01,0.0073,0.3048,0,0.13939,0.07146,0.0627,0.134612,0,0,0,0.129019,0.104718,0.03544,0.00711,0.051824,0.0864335,0.2336,0.0116621,0.00888797,0.20685,0.0670495,0.0311954,0.127559,0.1731,0.0372,0.146563,0.41808,0.1204,0.134583,0.780018,5.17998,0,0.116448,0,0.132397,0.0376,0.0147,0.00363874,0.00405493,0.492662,0.119161
mar-90,0.0222529,0.00129482,0.16391,0.524548,0.182573,0,0,0.0946807,0.00792308,0.144628,0.0240623,0.195536,1.9725,0,0,0.107038,0.147765,0,0,0.190304,0,0,0,0,0,0,0,0,0,0,0,0,0.00125903,0.01,0.0073,0.3048,0,0.13939,0.07146,0.0231241,0.0913474,0,0,0,0.0798214,0.0679915,0.03544,0.00711,0.00482879,0.0710872,0.2336,0.00447498,0.00479125,0.0681604,0.0401848,0.0219047,0.0874007,0.0542111,0.0372,0.0968655,0.184344,0.0364492,0.134583,0.402755,4.47999,0,0.0809114,0,0.0870933,0.0376,0.0147,0.00135395,0.00169643,0.492662,0.0651365
abr-90,0.0124222,0.00078642,0.151549,0.484992,0.168804,0,0,0.0503721,0.00452857,0.0875132,0.013376,0.119724,1.9725,0,0,0.0683777,0.134321,0,0,0.172989,0,0,0,0,0,0,0,0,0,0,0,0,0.01412,0.01,0.0073,0.3048,0,0.13939,0.07146,0.0130369,0.0522656,0,0,0,0.045824,0.0404305,0.03544,0.00711,0.051824,0.0834449,0.2336,0.00311893,0.00259849,0.038094,0.186342,0.0123081,0.0486565,0.0306546,0.0372,0.0541833,0.41808,0.1204,0.134583,0.455914,4.06998,0,0.0397566,0,0.0497433,0.0376,0.0147,0.000973153,0.000889019,0.492662,0.0393218
may-90,0.00429922,0.000382985,0.1493,0.477793,0.166299,0,0,0.0797928,0.00163851,0.0379234,0.00554634,0.0534799,1.9725,2.10488E-06,0,0.0334936,0.118896,0.001,0.002,0.153123,0.001,0,0.001,0.001,0,0,0,0.047696,0,0,0,0,0.01412,0.01,0.0073,0.3048,1.01905E-05,0.13939,0.07146,0.00561638,0.0193892,0,0,0,0.0200606,0.0176555,0.03544,0.00711,0.051824,0.10815,0.2336,0.069843,0.05824,0.0104383,0.21049,0.0047362,0.0201335,0.0113433,0.0372,0.0201224,0.41808,0.1204,0.134583,0.735678,3.6,0,0.0530776,0,0.013528,0.0376,0.0147,0.034615,0.0372,0.492662,0.0188998
jun-90,0.00113386,0.000113225,0.156787,0.501755,0.17464,0.016,0,0.165186,0.000417502,0.0175473,0.0559786,0.166362,1.9725,0.000248065,0,0.0151136,0.120813,0.008,0.014,0.155592,0.008,0.002,0.006,0.004,0.001,0.0036411,0.0359854,0.0717689,0,0.0126353,0,0,0.01412,0.01,0.0073,0.3048,0.0190714,0.13939,0.07146,0.00146208,0.00555366,0,0.016,0,0.00699706,0.179154,0.03544,0.00711,0.051824,0.10815,0.2336,0.069843,0.05824,0.0033487,0.21049,0.00118787,0.00567695,0.00350289,0.0372,0.00474023,0.41808,0.1204,0.134583,0.992423,3.66,0,0.0882006,0,0.00490372,0.0376,0.0147,0.034615,0.0372,0.492662,0.00625766
jul-90,0,0.00359288,0.15295,0.489475,0.170365,0.123,0.725441,0.165186,0,0,0.0559786,0.347813,1.9725,0.01366,0,0.0189603,0.114808,0.012,0.036,0.147859,0.022,0.01,0.024,0.016,0.005,0.010302,0.110446,0.185961,0.0569344,0.0591782,0.187798,0.014,0.01412,0.01,0.0073,0.3048,0.04812,0.13939,0.07146,0,0,0,0.123,0,0,0.15286,0.03544,0.00711,0.051824,0.10815,0.2336,0.069843,0.05824,0,0.21049,0,0,0,0.0372,0,0.41808,0.1204,0.134583,0.938799,3.48,0,0.7944,0,0,0.0376,0.0147,0.034615,0.0372,0.492662,0
ago-90,0.000161692,0.000285103,0.13809,0.441921,0.153813,0.055,0.191943,0,0,0.0103374,0,0.528212,1.9725,0.000093787,0,0.0163603,0.105514,0.01,0.025,0.13589,0.015,0.006,0.014,0.00899996,0.002,0.00608621,0.0633191,0.0877662,0.0168597,0.0191401,0,0.001,0.01412,0.01,0.0073,0.3048,0.0460225,0.13939,0.07146,0.00168183,0.00207132,0,0.055,0,0.010237,0.00986296,0.03544,0.00711,0.051824,0.10815,0.2336,0.069843,0.05824,0,0.21049,0.00196792,0,0,0.0372,0.00261461,0.41808,0.1204,0.134583,0.740681,3.2,0,0.229424,0,0,0.0376,0.0147,0.034615,0.0372,0.492662,0.0131358
sept-90,0.00466111,0.000608459,0.125488,0.40159,0.139776,0.052,0.581478,0,0.00209051,0.0477297,0.0559786,0.585,1.9725,0.000616559,0,0.0399009,0.143836,0.012,0.031,0.185243,0.019,0.005,0.013,0.009,0.002,0.00579113,0.0600201,0.105769,0.0276907,0.0230654,0.15041,0.011,0.01412,0.01,0.0073,0.3048,0.0419635,0.13939,0.07146,0.0627,0.0254104,0,0.052,0,0.0295625,0.198,0.03544,0.00711,0.051824,0.10815,0.2336,0.069843,0.05824,0.20685,0.21049,0.00376111,0.0196621,0.1731,0.0372,0.0553178,0.41808,0.1204,0.134583,1.3931,4.35999,0,0.303991,0,0.0302261,0.0376,0.0147,0.034615,0.0372,0.492662,0.028833
oct-90,0.06712,0.017925,0,0,0,0,0,0.165186,0.04105,0.320396,0.0559786,0.585,1.9725,0,0,0.418,0.254281,0,0,0.327483,0,0,0,0,0,0,0,0,0.0146935,0,0,0,0.01412,0.01,0.0073,0.3048,0,0.13939,0.07146,0.0627,0.2618,0,0,0,0.3665,0.198,0.03544,0.00711,0.051824,0.10815,0.2336,0.069843,0.05824,0.20685,0.21049,0.11222,0.1974,0.1731,0.0372,0.3245,0.41808,0.1204,0.134583,1.94731,7.70998,0,0.0944318,0,0.27615,0.0376,0.0147,0.034615,0.0372,0.492662,0.100939
nov-90,0.06712,0.017925,0,0,0,0,0,0.165186,0.04105,0.320395,0.0559786,0.585,1.9725,0,0,0.418,0.272415,0,0,0.350837,0,0,0,0,0,0,0,0,0,0,0,0,0.01412,0.01,0.0073,0.3048,0,0.13939,0.07146,0.0627,0.2618,0,0,0,0.3665,0.198,0.03544,0.00711,0.051824,0.10815,0.2336,0.069843,0.05824,0.20685,0.21049,0.11222,0.1974,0.1731,0.0372,0.3245,0.41808,0.1204,0.134583,2.04994,8.25,0,0.085762,0,0.27615,0.0376,0.0147,0.034615,0.0372,0.492662,0.19474
