Sources and Destinations,Decrease in Storage for Cuenta Corriente PMS,Decrease in Storage for Embalse Cogoti,Decrease in Storage for Embalse Paloma,Decrease in Storage for Embalse Recoleta,Increase in Storage for Cuenta Corriente PMS,Increase in Storage for Embalse Cogoti,Increase in Storage for Embalse Paloma,Increase in Storage for Embalse Recoleta,Inflow from Rio Grande,Inflow from Upstream,Net Evaporation and Local Reservoir Overflow,Outflow to Downstream,Outflow to DR Guatulame_B El Tome,Outflow to ENTREGA PALOMA,Outflow to ENTREGA_COGOTI,Outflow to Entregas Recoleta
Jul-16,,,,,0,-3.35165,-9.24014,-1.15386,0,14.9102,-0.220645,0,0,-0.73029,-0.0975762,-0.116023
Aug-16,,,,,0,-1.00604,-9.97658,-1.67673,0,14.781,-0.321774,-0.408517,0,-1.15838,-0.106447,-0.12657
Sep-16,,,,,0,-1.46354,-12.8892,-1.59912,0,18.8514,-0.499996,0,0,-2.11855,-0.128327,-0.152588
Oct-16,,,,,0,-1.47702,-16.8397,-1.04628,0,25.9138,-0.869937,0,0,-3.17026,-1.29671,-1.21389
Nov-16,,0.355377,,,0,,-12.9758,-1.70162,0.289728,24.6542,-1.07679,0,-0.289728,-5.97885,-1.65159,-1.62492
Dec-16,,1.72393,,,0,,-3.48714,-1.0066,0.280393,13.6241,-1.27271,0,-0.280393,-5.14856,-2.1749,-2.25809
Jan-17,,2.28639,3.63328,,0,,,-0.679147,0.280409,6.27297,-1.58718,0,-0.280409,-5.77015,-2.43214,-1.72403
Feb-17,,2.6401,3.66755,0.355743,0,,,,0.310423,5.90735,-1.1887,0,-0.310423,-6.62151,-2.78111,-1.97941
Mar-17,,2.21851,4.61357,0.492355,0,,,,0,3.5756,-0.915016,0,0,-5.98848,-2.34343,-1.6531
Apr-17,,0.653096,1.57808,,0,,,-0.641951,0,4.34195,-0.627924,0,0,-3.80223,-0.834128,-0.666903
May-17,,,,,0,-13.4427,-26.2278,-2.27292,0,44.8686,-0.399257,-0.283726,0,-1.06359,-0.646853,-0.531732
Jun-17,,,,,0,-6.86601,-20.7388,-4.34089,0,33.6076,-0.387496,-0.636445,0,-0.155449,-0.264844,-0.217709
Jul-17,,,,,0,-4.30166,-21.5552,-2.93922,0,30.2774,-0.351851,-0.589317,0,-0.295593,-0.134253,-0.11036
Aug-17,,,,,0,-0.790367,-10.6145,-0.625943,0,15.7595,-0.513116,-2.11162,0,-0.837098,-0.146457,-0.120392
Sep-17,,,,,0,-0.609686,-6.22249,0,0,13.5367,-0.797323,-3.21288,0,-2.37263,-0.176562,-0.14514
Oct-17,,0.402648,,,0,,-4.70252,0,0,15.9692,-1.32389,-2.89885,0,-5.37262,-0.946528,-1.12744
Nov-17,,,,,-0.033179,-3.62819,-5.23913,0,0.398355,23.5163,-1.63867,-3.56793,-0.365176,-7.18895,-0.735948,-1.5175
Dec-17,0.00485364,,3.82834,1.06034,,0,,,0.385585,9.00964,-1.93683,-1.10837,-0.390438,-6.74415,-1.98829,-2.12068
Jan-18,,,7.76036,1.28267,-0.011014,0,,,0.385585,5.05871,-1.94396,-0.31699,-0.374571,-8.75261,-0.676552,-2.41162
Feb-18,0.0119874,,8.77968,1.94054,,0,,,0.426897,3.12802,-1.77813,-0.142813,-0.438885,-8.83826,-0.319053,-2.76998
Mar-18,0.000186679,,5.4362,1.44346,,0,,,0,3.54625,-1.20601,-0.125122,-0.000186679,-6.49498,-0.288492,-2.3113
Apr-18,0.00964506,,2.94925,,,0,,-0.170193,0,4.68761,-0.82762,-0.11614,-0.00964506,-5.30934,-0.270167,-0.943407
May-18,0.0179211,1.20286,,,,,-0.229662,-0.737904,0,5.90136,-0.526232,-0.688937,-0.0179211,-3.57377,-0.703215,-0.644496
Jun-18,,,,,0,-1.06356,-4.4842,-1.5102,0,10.4455,-0.3875,-1,0,-1.44827,-0.28792,-0.263878
Jul-18,,1.00246,,,0,,-4.22181,-1.23327,0,6.90821,-0.351851,-0.943422,0,-0.880602,-0.14595,-0.133763
Aug-18,,1.11298,,,0,,-1.07592,-0.767995,0,4.35303,-0.513116,-1,0,-1.80383,-0.159219,-0.145924
Sep-18,,1.0298,1.16197,,0,,,-0.469201,0,3.51259,-0.797323,-1.00003,0,-3.06994,-0.191947,-0.175919
Oct-18,,1.40271,2.76524,0.171208,0,,,,0,4.71149,-1.1466,-0.814164,0,-5.64758,-0.764217,-0.678085
Nov-18,,1.45963,6.62312,0.65944,0,,,,0.39842,2.65522,-1.41924,-0.34242,-0.39842,-7.25198,-1.25585,-1.12792
Dec-18,,2.17215,8.05103,1.43652,0,,,,0.385585,2.13627,-1.67747,-0.220724,-0.385585,-7.93806,-2.07777,-1.88196
Jan-19,,2.53083,8.36349,1.84293,0,,,,0.385582,2.55419,-1.68364,-0.217659,-0.385582,-8.69299,-2.46255,-2.2346
Feb-19,,3.00193,7.43004,2.38783,0,,,,0.426859,3.4111,-1.56674,-0.213956,-0.426859,-8.9964,-2.8586,-2.59519
Mar-19,,2.48435,6.06001,1.6906,0,,,,0,2.65,-1.20601,-0.209456,0,-7.02662,-2.32987,-2.113
Apr-19,,1.32317,4.27507,0.605877,0,,,,0,1.81577,-0.82762,-0.259221,0,-4.54192,-1.24765,-1.14347
May-19,,1.20117,1.63775,,0,,,-0.228844,0,2.68805,-0.526232,-0.865815,0,-2.88883,-0.520333,-0.496914
Jun-19,,1.08785,0.33765,,0,,,-0.710466,0,3.04271,-0.387496,-0.88444,0,-2.06932,-0.213042,-0.203453
Jul-19,,1.07676,0.6349,,0,,,-0.718626,0,2.84385,-0.351852,-1,0,-2.2739,-0.107994,-0.103133
Aug-19,,1.06703,2.12589,,0,,,-0.532608,0,2.22856,-0.513116,-1,0,-3.14545,-0.117811,-0.112509
Sep-19,,1.08293,3.25064,,0,,,-0.386602,0,1.60591,-0.797323,-1,0,-3.4779,-0.142028,-0.135635
Oct-19,,1.36559,5.49884,0.168318,0,,,,0,0.973117,-1.1466,-0.929289,0,-4.95459,-0.507542,-0.467838
Nov-19,,1.47891,7.40589,0.674593,0,,,,0.398421,0.360579,-1.41924,-0.711691,-0.398421,-6.10682,-0.869387,-0.812833
Dec-19,,1.51143,8.38824,0.924179,0,,,,0.385567,0.650043,-1.35911,-0.142597,-0.385567,-7.09667,-1.47948,-1.39604
Jan-20,,1.84482,9.00704,1.24768,0,,,,0.385578,0.528059,-1.27739,-0.131537,-0.385578,-7.78655,-1.7642,-1.66793
Feb-20,,2.06847,8.18636,1.85012,0,,,,0.412164,0.429241,-1.14771,-0.132158,-0.412164,-7.40084,-1.98032,-1.87316
Mar-20,,1.76757,4.92237,1.54345,0,,,,0,1.84545,-0.915016,-0.13249,0,-5.79114,-1.66602,-1.57417
Apr-20,,1.52008,3.73572,0.789471,0,,,,0,1.2043,-0.627924,-0.616522,0,-4.20031,-0.923183,-0.881631
May-20,,1.23534,2.19334,0.149198,0,,,,0,0.986576,-0.399257,-0.944149,0,-2.55883,-0.305661,-0.356558
Jun-20,,1.11111,,,0,,-0.568866,-0.368569,0,2.06147,-0.294,-1.2833,0,-0.386714,-0.125148,-0.145987
Jul-20,,0.932998,,,0,,-0.345605,-0.275437,0,2.08373,-0.266953,-1,0,-0.991296,-0.063439,-0.0740028
Aug-20,,1.04704,1.0909,,0,,,-0.103589,0,1.36105,-0.389303,-1,0,-1.85616,-0.0692062,-0.0807303
Sep-20,,1.0089,3.98053,,0,,,-0.0562751,0,1.1081,-0.604938,-1,0,-4.25556,-0.0834321,-0.0973248
Oct-20,,1.17864,4.02251,0.193314,0,,,,0,0.745355,-0.71903,-1,0,-3.81953,-0.285064,-0.316193
Nov-20,,1.44296,6.72916,0.501653,-0.0335648,,,,0.238521,0.267726,-0.89,-1,-0.204956,-5.99121,-0.497187,-0.563093
Dec-20,0.0324821,1.46267,7.39224,0.959177,,,,,0.23095,0.172594,-1.05193,-0.651221,-0.263432,-6.44529,-0.856015,-0.982217
Jan-21,,1.61392,6.33392,1.16964,0,,,,0.230944,0.599232,-1.05581,-0.628511,-0.230944,-5.83182,-1.02326,-1.17732
Feb-21,,1.60081,6.02497,1.36281,0,,,,0.255685,0.560044,-0.982498,-0.446385,-0.255685,-5.55889,-1.19036,-1.37049
Mar-21,,1.44921,4.60734,1.10236,0,,,,0,0.370245,-0.615692,-0.513895,0,-4.32394,-0.965591,-1.11004
Apr-21,,1.40046,3.96514,0.578851,0,,,,0,0.432939,-0.422515,-0.878439,0,-3.90153,-0.542307,-0.632611
May-21,,1.10327,3.0597,0.0337369,0,,,,0,1.20384,-0.268653,-0.914734,0,-3.7628,-0.197906,-0.256457
Jun-21,,1.06481,0.223614,,0,,,-0.263637,0,2.85681,-0.197826,-0.988095,0,-2.50965,-0.0810293,-0.105002
Jul-21,,0.890457,,,0,,-0.758259,-0.277013,0,3.7815,-0.179627,-0.983145,0,-2.37961,-0.0410749,-0.0532269
Aug-21,,1.00246,1.08515,,0,,,-0.249134,0,3.58878,-0.261956,-0.975946,0,-4.08649,-0.0448088,-0.0580656
Sep-21,,1.04649,2.99167,,0,,,-0.137358,0,1.23506,-0.407049,-1,0,-3.6048,-0.0540197,-0.0700015
Oct-21,,1.07822,7.42756,0.0891838,0,,,,0,1.01593,-0.585361,-0.902679,0,-7.70958,-0.185852,-0.227424
Nov-21,,0.68657,7.4153,0.358928,-0.0225694,,,,0.121868,0.700039,-0.724545,-0.505567,-0.0992989,-7.20248,-0.323238,-0.405008
Dec-21,,,9.16058,0.698786,-0.0115741,0,,,0.117906,0.765816,-0.856377,-0.00592108,-0.106332,-8.93527,-0.121153,-0.706466
Jan-22,0.0268817,,10.0542,0.839111,,0,,,0.117937,0.705646,-0.531041,-0.0063408,-0.144819,-10.0933,-0.121445,-0.846791
Feb-22,,,10.9619,0.978055,-0.0140542,0,,,0.130573,0.64062,-0.494167,-0.00457007,-0.116519,-11.0246,-0.0715499,-0.985735
Mar-22,,,8.78013,0.790724,0,-1.81362E-06,,,0,0.775719,-0.252096,-0.00515109,0,-9.22052,-0.070395,-0.798404
Apr-22,,1.87407E-06,3.6772,0.447329,0,,,,0,2.92875,-0.102519,-0.485285,0,-5.65934,-0.351128,-0.455009

