Yr,Mon,EST. CHACAY A
1996,2,20.798244247433452
1996,3,91.60154258779554
1996,4,84.3075627731757
1996,5,123.16324385613979
1996,6,194.78994850911454
1996,7,91.86918140371534
1996,8,226.40928842922997
1996,9,44.6193262939506
1996,10,53.750638480952084
1996,11,55.64723394489525
1996,12,22.31989608160431
1997,1,13.127824407678572
1997,2,38.32788931354589
1997,3,7.225297776773349
1997,4,350.3831892955767
1997,5,203.27054336625773
1997,6,543.3731308843147
1997,7,244.69133414563436
1997,8,177.74881034544444
1997,9,237.69621413545661
1997,10,228.19723002534687
1997,11,89.74905874303384
1997,12,33.012816227141755
1998,1,2.7266747208612294
1998,2,33.81816970520234
1998,3,20.821740477952087
1998,4,84.67550509873978
1998,5,128.30656257128877
1998,6,105.67739759299793
1998,7,111.73402057342172
1998,8,126.43011883583397
1998,9,110.35334837682889
1998,10,3.1113850561437255
1998,11,22.220728668702776
1998,12,26.664714237024988
1999,1,14.359491008139335
1999,2,18.051684834080596
1999,3,25.083001971338586
1999,4,30.379499826078806
1999,5,244.4854180785499
1999,6,432.3801727547183
1999,7,140.31774668730833
1999,8,307.4659014186724
1999,9,326.93429333844546
1999,10,30.85084284528534
1999,11,28.593306195389275
1999,12,22.405324013106405
2000,1,9.906121027160218
2000,2,182.75232835696832
2000,3,17.112227410226104
2000,4,48.26892528580682
2000,5,82.5176987625007
2000,6,820.1817264475887
2000,7,146.91411695057903
2000,8,277.9293836722152
2000,9,351.32259369677774
2000,10,59.54984622348931
2000,11,50.75257174830075
2000,12,48.14831378655495
2001,1,101.00986339801895
2001,2,7.543134297481563
2001,3,17.25727154201056
2001,4,73.31209593955606
2001,5,561.5454710310913
2001,6,277.1995889652878
2001,7,737.0432109373716
2001,8,290.36058824826523
2001,9,44.60870030536702
2001,10,41.947558327979294
2001,11,54.33075075618568
2001,12,0.6515084785759723
2002,1,13.75619435901811
2002,2,198.27719036698682
2002,3,184.8916129005141
2002,4,93.38351125139174
2002,5,278.66997992338867
2002,6,282.7266824007773
2002,7,216.8844512156973
2002,8,543.7058844106197
2002,9,148.4529689356782
2002,10,293.3961686266843
2002,11,107.98503941992549
2002,12,31.10335649053937
2003,1,38.93958902483143
2003,2,0.9216193981166759
2003,3,9.402673761673492
2003,4,24.405364930952558
2003,5,145.0121718137853
2003,6,442.4973090483052
2003,7,178.23027930980044
2003,8,134.56343240837356
2003,9,154.5754617038135
2003,10,125.02664896129484
2003,11,90.15214331115429
2003,12,38.37064899997881
2004,1,4.234207592901206
2004,2,12.107073889996528
2004,3,74.00384011079385
2004,4,234.1090047393302
2004,5,44.93064439605674
2004,6,342.5236911477102
2004,7,366.71033623212685
2004,8,107.36469730291931
2004,9,172.65550577228646
2004,10,169.06120408282186
2004,11,116.72099175137447
2004,12,45.0792669715443
2005,1,6.304205855812393
2005,2,0.5867932182645049
2005,3,39.334637483971136
2005,4,19.11714277364829
2005,5,540.5863442016804
2005,6,432.4484342006214
2005,7,377.47431991389294
2005,8,427.74657303065567
2005,9,63.085040829601496
2005,10,35.47558248961656
2005,11,81.078314423411
2005,12,80.17487017474026
2006,1,33.71387882619419
2006,2,22.174876475787343
2006,3,20.815917373716992
2006,4,166.4838283208919
2006,5,196.36017621030132
2006,6,495.85488277201034
2006,7,502.69317862663166
2006,8,303.6060023927823
2006,9,124.0962158137357
2006,10,173.4789297011252
2006,11,23.319452016131383
2006,12,112.0192676436314
2007,1,33.350966307068276
2007,2,89.65993411248591
2007,3,40.83068787609466
2007,4,111.58531724838328
2007,5,44.951528714740206
2007,6,170.93769661830913
2007,7,332.9247433131807
2007,8,165.03182076180354
2007,9,93.53384496064561
2007,10,50.14048428756279
2007,11,12.611136163684163
2007,12,31.73938683603994
2008,1,19.552520028205784
2008,2,17.820561443801576
2008,3,32.427090403586845
2008,4,120.98636625222478
2008,5,609.9505440829448
2008,6,197.17900896748756
2008,7,256.81508967796674
2008,8,362.36335494806843
2008,9,70.33890504269203
2008,10,44.75146221249141
2008,11,22.557993538910445
2008,12,26.528243425466616
2009,1,5.38560703523301
2009,2,23.714953893623314
2009,3,10.268680478020299
2009,4,68.1889432805352
